,origem,FRASE,OBJ/SUBJ
16,"['Você também verá isso na produção televisiva de hoje, que foi editada e filmada para a televisão pelo diretor Z. Zelenka.', '1', 'objetivo']","Você também verá isso na produção televisiva de hoje, que foi editada e filmada para a televisão pelo diretor Z. Zelenka.",objetiva
17,"['No local, ele conhece os donos daquela casa, e é aí que começam os problemas.', '1', 'objetivo']","No local, ele conhece os donos daquela casa, e é aí que começam os problemas.",objetiva
18,"['Ele era um homem que tinha uma propensão à violência e ao deslocamento de consequências para criar uma vida familiar idílica.', '1', 'objetivo']",Ele era um homem que tinha uma propensão à violência e ao deslocamento de consequências para criar uma vida familiar idílica.,objetiva
19,"['Os animais se divertem e brincam uns com os outros, e muitos deles não têm medo de se aproximar dos humanos...', '1', 'objetivo']","Os animais se divertem e brincam uns com os outros, e muitos deles não têm medo de se aproximar dos humanos...",objetiva
20,"['A sequência direta da série de anime Nanbaka (2016) está aqui, e com ela um grupo de quatro refugiados irredimíveis.', '1', 'objetivo']","A sequência direta da série de anime Nanbaka (2016) está aqui, e com ela um grupo de quatro refugiados irredimíveis.",objetiva
21,"['O avô (L. Pešek) conta a seus netos Vinck e Kuba um conto de fadas sobre dragões, e eles brincam de cavaleiro e dragão na floresta.', '1', 'objetivo']","O avô (L. Pešek) conta a seus netos Vinck e Kuba um conto de fadas sobre dragões, e eles brincam de cavaleiro e dragão na floresta.",objetiva
22,"['Assim, a família de Potocky foi redimida da maldição.', '1', 'objetivo']","Assim, a família de Potocky foi redimida da maldição.",objetiva
23,"['Parece quase inacreditável, mas esta produção estreou em junho de 1996.', '1', 'objetivo']","Parece quase inacreditável, mas esta produção estreou em junho de 1996.",objetiva
24,"['Tom se apaixona por sua assistente e se casa com ela.', '1', 'objetivo']",Tom se apaixona por sua assistente e se casa com ela.,objetiva
25,"['Depois de uma turnê bem-sucedida de festivais estrangeiros, o premiado curta-metragem está chegando para agradar até mesmo os mais obstinados espectadores domésticos.', '1', 'objetivo']","Depois de uma turnê bem-sucedida de festivais estrangeiros, o premiado curta-metragem está chegando para agradar até mesmo os mais obstinados espectadores domésticos.",objetiva
26,"['Em vez disso, suas vidas se tornaram ainda mais complicadas.', '1', 'objetivo']","Em vez disso, suas vidas se tornaram ainda mais complicadas.",objetiva
27,"['Coincidentemente, ele conhece uma jovem judia, Růženka, a quem decide esconder em sua casa.', '1', 'objetivo']","Coincidentemente, ele conhece uma jovem judia, Růženka, a quem decide esconder em sua casa.",objetiva
28,"['Todo mundo conhece a história bíblica de Adão e Eva.', '1', 'objetivo']",Todo mundo conhece a história bíblica de Adão e Eva.,objetiva
29,"['O filme ganhou vários prêmios em festivais e foi o último curta-metragem de Polanski, antes de sua estreia no longa KNIFE IN THE WATER.', '1', 'objetivo']","O filme ganhou vários prêmios em festivais e foi o último curta-metragem de Polanski, antes de sua estreia no longa KNIFE IN THE WATER.",objetiva
30,"['Para o grupo de esquiadores e ao mesmo tempo os principais protagonistas do filme, a vontade de esquiar é enorme.', '1', 'objetivo']","Para o grupo de esquiadores e ao mesmo tempo os principais protagonistas do filme, a vontade de esquiar é enorme.",objetiva
31,"['O nome deste prêmio de cinema é, sem dúvida, inspirado no nome do paleontólogo francês Joachim Barrande, que deu o nome à área onde os estúdios cinematográficos de Barrand foram criados.', '1', 'objetivo']","O nome deste prêmio de cinema é, sem dúvida, inspirado no nome do paleontólogo francês Joachim Barrande, que deu o nome à área onde os estúdios cinematográficos de Barrand foram criados.",objetiva
32,"['A narrativa centra-se na disputa entre duas personalidades distintas da revolução - Robespierre e Danton, que se torna vítima do processo político, é arrebatado das alturas do orgulho, poder e riqueza - e termina sua vertiginosa carreira na forca.', '1', 'objetivo']","A narrativa centra-se na disputa entre duas personalidades distintas da revolução - Robespierre e Danton, que se torna vítima do processo político, é arrebatado das alturas do orgulho, poder e riqueza - e termina sua vertiginosa carreira na forca.",objetiva
33,"['Um divertido programa educacional para crianças de 8 a 12 anos que explica conceitos básicos do mundo das finanças.', '1', 'objetivo']",Um divertido programa educacional para crianças de 8 a 12 anos que explica conceitos básicos do mundo das finanças.,objetiva
34,"['É um grande pacote de coragem, conhecimento, não é apenas um trabalho artesanal como processar o material, esculpir a cabeça, cortar os lóbulos e trabalhá-los em uma forma para que possam ser dobrados e se encaixam no molde.', '1', 'objetivo']","É um grande pacote de coragem, conhecimento, não é apenas um trabalho artesanal como processar o material, esculpir a cabeça, cortar os lóbulos e trabalhá-los em uma forma para que possam ser dobrados e se encaixam no molde.",objetiva
35,"['Exércitos estrangeiros ocupam Havana e a guerra civil paira no ar.', '1', 'objetivo']",Exércitos estrangeiros ocupam Havana e a guerra civil paira no ar.,objetiva
36,"['O documentário de hoje vai nos oferecer várias histórias diferentes da França.', '1', 'objetivo']",O documentário de hoje vai nos oferecer várias histórias diferentes da França.,objetiva
37,"['O personagem principal do filme foi modelado após a verdadeira estrela indiana dos anos 80, Silk Smitha.', '1', 'objetivo']","O personagem principal do filme foi modelado após a verdadeira estrela indiana dos anos 80, Silk Smitha.",objetiva
38,"['Maciej acredita que Wimbledon está ao seu alcance, até que eles se juntam a Igor (Bartłomiej Kowalski), um jovem e promissor tenista que também começa a treinar com Maciej.', '1', 'objetivo']","Maciej acredita que Wimbledon está ao seu alcance, até que eles se juntam a Igor (Bartłomiej Kowalski), um jovem e promissor tenista que também começa a treinar com Maciej.",objetiva
39,"['Sua outra grande força é a atuação, especialmente o praticamente desconhecido Lenny Baker no papel principal de Larry, que foi indicado ao Globo de Ouro por sua notável criação (foi, infelizmente, o único papel principal de sua curta carreira, que de repente foi terminou por câncer em 1982, quando tinha apenas 37 anos).', '1', 'objetivo']","Sua outra grande força é a atuação, especialmente o praticamente desconhecido Lenny Baker no papel principal de Larry, que foi indicado ao Globo de Ouro por sua notável criação (foi, infelizmente, o único papel principal de sua curta carreira, que de repente foi terminou por câncer em 1982, quando tinha apenas 37 anos).",objetiva
40,"['Desta vez em um espírito completamente oposto ao que, por exemplo, em THE QUEEN BEE.', '1', 'objetivo']","Desta vez em um espírito completamente oposto ao que, por exemplo, em THE QUEEN BEE.",objetiva
41,"['No entanto, durante o voo, coisas estranhas começam a acontecer a bordo do avião.', '1', 'objetivo']","No entanto, durante o voo, coisas estranhas começam a acontecer a bordo do avião.",objetiva
42,"['Infelizmente, o segundo tiro não sobreviveu, mas sabemos que se passa em um museu.', '1', 'objetivo']","Infelizmente, o segundo tiro não sobreviveu, mas sabemos que se passa em um museu.",objetiva
43,"['Mas o que todo mundo descobre depois será o pior.', '1', 'objetivo']",Mas o que todo mundo descobre depois será o pior.,objetiva
44,"['Com certeza será uma linda noite cheia de boas ações e fortes emoções.', '1', 'objetivo']",Com certeza será uma linda noite cheia de boas ações e fortes emoções.,objetiva
45,"['Por trás dessa atividade de amor a Deus, no entanto, está um crime, as viagens de Favrot à Suíça visam disfarçar o contrabando de diamantes.', '1', 'objetivo']","Por trás dessa atividade de amor a Deus, no entanto, está um crime, as viagens de Favrot à Suíça visam disfarçar o contrabando de diamantes.",objetiva
46,"['Kačenka finalmente entende que ela estava sendo usada apenas pelos Romanovskys e vai ver Vincko.', '1', 'objetivo']",Kačenka finalmente entende que ela estava sendo usada apenas pelos Romanovskys e vai ver Vincko.,objetiva
47,"['Um retrato de um artista extraordinário que esteve em desuso do regime durante toda a sua vida e cuja obra nunca poderia ser apresentada ao público como merecia.', '1', 'objetivo']",Um retrato de um artista extraordinário que esteve em desuso do regime durante toda a sua vida e cuja obra nunca poderia ser apresentada ao público como merecia.,objetiva
48,"['Convidamos você para a França, durante o reinado do rei Henrique IV. e especialmente Luís XIV. e XV.', '1', 'objetivo']","Convidamos você para a França, durante o reinado do rei Henrique IV. e especialmente Luís XIV. e XV.",objetiva
49,"['Agarrá-lo, no entanto, significa cumprir condições muito loucas...', '1', 'objetivo']","Agarrá-lo, no entanto, significa cumprir condições muito loucas...",objetiva
50,"['O governo croata está enfrentando dificuldades financeiras e está procurando desesperadamente maneiras inovadoras de economizar dinheiro.', '1', 'objetivo']",O governo croata está enfrentando dificuldades financeiras e está procurando desesperadamente maneiras inovadoras de economizar dinheiro.,objetiva
51,"['Nossos oceanos nunca enfrentaram uma ameaça como agora.', '1', 'objetivo']",Nossos oceanos nunca enfrentaram uma ameaça como agora.,objetiva
52,"['Graham acha que a situação precisa ser abordada local a local.', '1', 'objetivo']",Graham acha que a situação precisa ser abordada local a local.,objetiva
53,"['Segure a respiração, o trem para Atlantis está prestes a partir, com novas aventuras pela frente!', '1', 'objetivo']","Segure a respiração, o trem para Atlantis está prestes a partir, com novas aventuras pela frente!",objetiva
54,"['O escritor não faz ideia de que foi escolhido como sucessor de outro homem, do agente 007.', '1', 'objetivo']","O escritor não faz ideia de que foi escolhido como sucessor de outro homem, do agente 007.",objetiva
55,"['Os criadores por trás dos sucessos animados Wild Waves (Chris Buck) e Ralf the Robber (Jennifer Lee) foram inspirados desta vez pelo contador de histórias Hans Christian Andersen e criaram uma história familiar sobre um vínculo fraterno que supera até mesmo a magia do gelo incomum.', '1', 'objetivo']",Os criadores por trás dos sucessos animados Wild Waves (Chris Buck) e Ralf the Robber (Jennifer Lee) foram inspirados desta vez pelo contador de histórias Hans Christian Andersen e criaram uma história familiar sobre um vínculo fraterno que supera até mesmo a magia do gelo incomum.,objetiva
56,"['O documentário captura as histórias de quatro ""garotas duronas"" com idades entre sete e trinta e seis e seu desenvolvimento durante o período de dois anos que passamos com elas.', '1', 'objetivo']","O documentário captura as histórias de quatro ""garotas duronas"" com idades entre sete e trinta e seis e seu desenvolvimento durante o período de dois anos que passamos com elas.",objetiva
57,"['Uma gangue de ladrões e assassinos enlouqueceu na Bélgica nos anos oitenta, deixando muitos mortos, incluindo crianças, em sua sangrenta peregrinação.', '1', 'objetivo']","Uma gangue de ladrões e assassinos enlouqueceu na Bélgica nos anos oitenta, deixando muitos mortos, incluindo crianças, em sua sangrenta peregrinação.",objetiva
58,"['Ao retornar, Carmela protesta não apenas contra essa medida, mas também contra outras mudanças que foram introduzidas em sua sala de aula.', '1', 'objetivo']","Ao retornar, Carmela protesta não apenas contra essa medida, mas também contra outras mudanças que foram introduzidas em sua sala de aula.",objetiva
59,"['Miroslava descobrirá, mas será tarde demais.', '1', 'objetivo']","Miroslava descobrirá, mas será tarde demais.",objetiva
60,"['O ex-chefe do melhor agente do mundo descobre que durante uma tarde de golfe com o presidente dos EUA, alguém sequestrou o estadista e o substituiu por um ator que é seu doppelgänger perfeito.', '1', 'objetivo']","O ex-chefe do melhor agente do mundo descobre que durante uma tarde de golfe com o presidente dos EUA, alguém sequestrou o estadista e o substituiu por um ator que é seu doppelgänger perfeito.",objetiva
61,"['O filme foi rodado por quatro diretoras, cada uma com seu papel (Er am Ende - Helma Sanders-Brahms;', '1', 'objetivo']","O filme foi rodado por quatro diretoras, cada uma com seu papel (Er am Ende - Helma Sanders-Brahms;",objetiva
62,"['Quem de nós não gostaria de experimentá-lo um dia...', '1', 'objetivo']",Quem de nós não gostaria de experimentá-lo um dia...,objetiva
63,"['Nicolas Perri também é libertado e, portanto, a próxima investigação do roubo de morfina permanece em Carolina.', '1', 'objetivo']","Nicolas Perri também é libertado e, portanto, a próxima investigação do roubo de morfina permanece em Carolina.",objetiva
64,"['O destino de seu marido foi processado por Trudie Bryksová no livro Hope and Hopelessness, publicado em 2003 pela editora Votobia.', '1', 'objetivo']","O destino de seu marido foi processado por Trudie Bryksová no livro Hope and Hopelessness, publicado em 2003 pela editora Votobia.",objetiva
65,"['Quando a pequena cidade de Loch Lamond se encontra entre dois incêndios gigantes, seu destino está selado.', '1', 'objetivo']","Quando a pequena cidade de Loch Lamond se encontra entre dois incêndios gigantes, seu destino está selado.",objetiva
66,"['No entanto, quando um rico investidor culzeano chega à região, que quer comprar vastas extensões de terra pertencentes a fazendeiros privados e usá-la para seus próprios planos, Tam se recusa a desistir de sua terra, o que para ele significa eterna labuta e pobreza, mas também a herança de seus ancestrais e um símbolo de independência e liberdade.', '1', 'objetivo']","No entanto, quando um rico investidor culzeano chega à região, que quer comprar vastas extensões de terra pertencentes a fazendeiros privados e usá-la para seus próprios planos, Tam se recusa a desistir de sua terra, o que para ele significa eterna labuta e pobreza, mas também a herança de seus ancestrais e um símbolo de independência e liberdade.",objetiva
67,"['E é mesmo possível lutar contra eles?', '1', 'objetivo']",E é mesmo possível lutar contra eles?,objetiva
68,"['Alex tem 4 outros colegas que também foram trazidos para esta escola involuntariamente.', '1', 'objetivo']",Alex tem 4 outros colegas que também foram trazidos para esta escola involuntariamente.,objetiva
69,"['Concerto de Natal da Orquestra de Instrumentos Folclóricos e Coro de Meninas de VUS Ondráš da Igreja de St. João de Nepomuck em Praga.', '1', 'objetivo']",Concerto de Natal da Orquestra de Instrumentos Folclóricos e Coro de Meninas de VUS Ondráš da Igreja de St. João de Nepomuck em Praga.,objetiva
70,"['O curta-metragem espanhol EXTRANJEROS é sobre um jovem pobre chamado Cuz, que veio de Madri com a visão de uma vida melhor.', '1', 'objetivo']","O curta-metragem espanhol EXTRANJEROS é sobre um jovem pobre chamado Cuz, que veio de Madri com a visão de uma vida melhor.",objetiva
71,"['O próprio OSS 117 é capturado por uma gangue, mas encontra apoio inesperado na linda garota Brigitta, que o liberta...', '1', 'objetivo']","O próprio OSS 117 é capturado por uma gangue, mas encontra apoio inesperado na linda garota Brigitta, que o liberta...",objetiva
72,"['Evi tem pouco tempo livre entre o trabalho e os deveres da maternidade, mas é jovem e quer aproveitar a vida.', '1', 'objetivo']","Evi tem pouco tempo livre entre o trabalho e os deveres da maternidade, mas é jovem e quer aproveitar a vida.",objetiva
73,"['A garota também diz ao garoto que ela sabe pelos demônios que Kurou não é um garoto comum e que ela conhece uma parte significativa de seu segredo que os tornaria próximos, ou pelo menos se entendessem de várias maneiras.', '1', 'objetivo']","A garota também diz ao garoto que ela sabe pelos demônios que Kurou não é um garoto comum e que ela conhece uma parte significativa de seu segredo que os tornaria próximos, ou pelo menos se entendessem de várias maneiras.",objetiva
74,"['Mas às vezes acontece que o dinheiro e as festas loucas que o sucesso traz cegam os olhos das pessoas.', '1', 'objetivo']",Mas às vezes acontece que o dinheiro e as festas loucas que o sucesso traz cegam os olhos das pessoas.,objetiva
75,"['São pessoas que passaram por três regimes políticos e hoje o Estado lhes dá uma pensão mensal de 7 euros, da qual têm que sobreviver.', '1', 'objetivo']","São pessoas que passaram por três regimes políticos e hoje o Estado lhes dá uma pensão mensal de 7 euros, da qual têm que sobreviver.",objetiva
76,"['A dramática história filmada em uma coprodução israelense-americana é baseada no romance Panther in the Cellar, escrito pelo famoso escritor Amos Oz.', '1', 'objetivo']","A dramática história filmada em uma coprodução israelense-americana é baseada no romance Panther in the Cellar, escrito pelo famoso escritor Amos Oz.",objetiva
77,"['A comédia francesa, dirigida por Thierry Binisti, conta a história de um casal de cinquenta e poucos anos que está prestes a realizar seu antigo sonho - ir para a Índia.', '1', 'objetivo']","A comédia francesa, dirigida por Thierry Binisti, conta a história de um casal de cinquenta e poucos anos que está prestes a realizar seu antigo sonho - ir para a Índia.",objetiva
78,"['Em seu planeta natal, Porno Mongo, toda a população está se tornando irremediavelmente obcecada por sexo, e apenas Flesh Gordon e Flexi Jerkoff podem parar seus raios e salvar a virtude humana.', '1', 'objetivo']","Em seu planeta natal, Porno Mongo, toda a população está se tornando irremediavelmente obcecada por sexo, e apenas Flesh Gordon e Flexi Jerkoff podem parar seus raios e salvar a virtude humana.",objetiva
79,"['O grupo não é apenas ameaçado pelas tribos originais que habitam os locais, mas também pela rivalidade mútua, pela perspectiva de glória e, por último, mas não menos importante, pela ganância.', '1', 'objetivo']","O grupo não é apenas ameaçado pelas tribos originais que habitam os locais, mas também pela rivalidade mútua, pela perspectiva de glória e, por último, mas não menos importante, pela ganância.",objetiva
80,"['Mesmo depois de vários meses de investigação, o comissário Maigret não está mais perto de pegar o serial killer e as vítimas continuam aumentando, já são cinco.', '1', 'objetivo']","Mesmo depois de vários meses de investigação, o comissário Maigret não está mais perto de pegar o serial killer e as vítimas continuam aumentando, já são cinco.",objetiva
81,"['A emocionante história de Santiago Munez (Kuno Becker) continua na sequência repleta de ação Gol 2.', '1', 'objetivo']",A emocionante história de Santiago Munez (Kuno Becker) continua na sequência repleta de ação Gol 2.,objetiva
82,"['O Primarca Stig Helmer, um médico que não revela tudo relacionado com a Dinamarca, que olha para a sua terra natal com um telescópio todas as noites, a Suécia, mas infelizmente uma operação falhou e para não ser julgado por isso, tenta esconder todas as pistas que levam ao seu delito, mas o diretor Jørgen Krogshøj tenta impedi-lo, que, entre outras coisas, chantageia o filho do diretor do hospital, Mogge, porque sabe que foi ele quem fez um certo ato para por favor, a chefe do laboratório do sono, Camille.', '1', 'objetivo']","O Primarca Stig Helmer, um médico que não revela tudo relacionado com a Dinamarca, que olha para a sua terra natal com um telescópio todas as noites, a Suécia, mas infelizmente uma operação falhou e para não ser julgado por isso, tenta esconder todas as pistas que levam ao seu delito, mas o diretor Jørgen Krogshøj tenta impedi-lo, que, entre outras coisas, chantageia o filho do diretor do hospital, Mogge, porque sabe que foi ele quem fez um certo ato para por favor, a chefe do laboratório do sono, Camille.",objetiva
83,"['Felizmente, Mavis faz amizade com uma ex-colega de classe que, como ela, ainda não superou seus dias de colegial...', '1', 'objetivo']","Felizmente, Mavis faz amizade com uma ex-colega de classe que, como ela, ainda não superou seus dias de colegial...",objetiva
84,"['No 59º ano do Grammy Awards, podemos esperar, entre outros, Beyoncé, que tem um total de 9 indicações este ano.', '1', 'objetivo']","No 59º ano do Grammy Awards, podemos esperar, entre outros, Beyoncé, que tem um total de 9 indicações este ano.",objetiva
85,"['Para reembolsá-los, ele aceitou um emprego extenuante como empregado comum em uma grande companhia de seguros, que é severamente governada pelo diretor tubarão Sr. Skála.', '1', 'objetivo']","Para reembolsá-los, ele aceitou um emprego extenuante como empregado comum em uma grande companhia de seguros, que é severamente governada pelo diretor tubarão Sr. Skála.",objetiva
86,"['O filme Thrice Love consiste em três cenas baseadas em diálogos idênticos.', '1', 'objetivo']",O filme Thrice Love consiste em três cenas baseadas em diálogos idênticos.,objetiva
87,"['Este filme emocionante e fascinante revela a tecnologia por trás das montanhas-russas que nos mantêm subindo e descendo.', '1', 'objetivo']",Este filme emocionante e fascinante revela a tecnologia por trás das montanhas-russas que nos mantêm subindo e descendo.,objetiva
88,"[""The Smoker's Hut foi seu avanço para orçamentos maiores e um público mais mainstream."", '1', 'objetivo']",The Smoker's Hut foi seu avanço para orçamentos maiores e um público mais mainstream.,objetiva
89,"['Baseado na peça homônima de A. Nicodemi.', '1', 'objetivo']",Baseado na peça homônima de A. Nicodemi.,objetiva
90,"['Porque ele tem uma ideia completamente diferente sobre publicidade e também é terrivelmente distraído, o que leva as pessoas ao seu redor a situações completamente inacreditáveis \u200b\u200be, por outro lado, as provoca muito contra ele.', '1', 'objetivo']","Porque ele tem uma ideia completamente diferente sobre publicidade e também é terrivelmente distraído, o que leva as pessoas ao seu redor a situações completamente inacreditáveis ​​e, por outro lado, as provoca muito contra ele.",objetiva
91,"['O protagonista aqui é um designer moral, que ocasionalmente para para cantar para desfrutar de algo diferente de seu trabalho.', '1', 'objetivo']","O protagonista aqui é um designer moral, que ocasionalmente para para cantar para desfrutar de algo diferente de seu trabalho.",objetiva
92,"['A tríplice fronteira influenciou significativamente tanto os destinos humanos específicos quanto todo o desenvolvimento histórico da área.', '1', 'objetivo']",A tríplice fronteira influenciou significativamente tanto os destinos humanos específicos quanto todo o desenvolvimento histórico da área.,objetiva
93,"['Esqueça ""Zen e a Arte da Manutenção de Motos""!', '1', 'objetivo']","Esqueça ""Zen e a Arte da Manutenção de Motos""!",objetiva
94,"['Um ex-agente do governo, Snow é teimoso e intransigente.', '1', 'objetivo']","Um ex-agente do governo, Snow é teimoso e intransigente.",objetiva
95,"['Quando ele mostrou suas habilidades, o povo local o aceitou entre seus discípulos.', '1', 'objetivo']","Quando ele mostrou suas habilidades, o povo local o aceitou entre seus discípulos.",objetiva
96,"['As pistas levam à Legião Estrangeira Francesa, cujos membros estão lutando contra o Viet Minh na Indochina.', '1', 'objetivo']","As pistas levam à Legião Estrangeira Francesa, cujos membros estão lutando contra o Viet Minh na Indochina.",objetiva
97,"['Descubra o que acontece a seguir nesta adaptação para a TV.', '1', 'objetivo']",Descubra o que acontece a seguir nesta adaptação para a TV.,objetiva
98,"['Como são criadas as teias de aranha, como ocorrem os rituais de cortejo ou como funciona seu sofisticado método de caça?', '1', 'objetivo']","Como são criadas as teias de aranha, como ocorrem os rituais de cortejo ou como funciona seu sofisticado método de caça?",objetiva
99,,,
100,"['Eles podem até revelar se alguns dos dinossauros conseguiram sobreviver em nosso tempo.', '1', 'objetivo']",Eles podem até revelar se alguns dos dinossauros conseguiram sobreviver em nosso tempo.,objetiva
101,"['O filme foi criado combinando tecnologia de animação 3D de ponta com pintura clássica.', '1', 'objetivo']",O filme foi criado combinando tecnologia de animação 3D de ponta com pintura clássica.,objetiva
102,"['Os planos do quarteto estão cada vez mais ousados \u200b\u200be suas fugas cada vez mais ousadas.', '1', 'objetivo']",Os planos do quarteto estão cada vez mais ousados ​​e suas fugas cada vez mais ousadas.,objetiva
103,"['Em 1969, a famosa comédia do dramaturgo francês G. Feydeau Bug in the Head estreou no Teatro Vinohrady sob a direção de Václav Hudeček.', '1', 'objetivo']","Em 1969, a famosa comédia do dramaturgo francês G. Feydeau Bug in the Head estreou no Teatro Vinohrady sob a direção de Václav Hudeček.",objetiva
104,"['Thierry, um estudante, quer comemorar seu aniversário com seu colega de quarto, o haitiano Henri, e com um par de garotas vendáveis \u200b\u200bque ele conhece por acaso em um bar.', '1', 'objetivo']","Thierry, um estudante, quer comemorar seu aniversário com seu colega de quarto, o haitiano Henri, e com um par de garotas vendáveis ​​que ele conhece por acaso em um bar.",objetiva
105,"['Ele não gosta disso e decide ser professor e começa uma escola primária.', '1', 'objetivo']",Ele não gosta disso e decide ser professor e começa uma escola primária.,objetiva
106,"['Mas enquanto isso, Carol já havia enviado uma carta para Katia, esclarecendo tudo e incluindo fotos de família.', '1', 'objetivo']","Mas enquanto isso, Carol já havia enviado uma carta para Katia, esclarecendo tudo e incluindo fotos de família.",objetiva
107,"['Conta a história de Mao Zedong, que nasceu em uma família camponesa, cresceu entre camponeses e gradualmente se tornou um excelente estudioso, membro do Congresso do Partido Comunista Chinês e, finalmente, seu presidente.', '1', 'objetivo']","Conta a história de Mao Zedong, que nasceu em uma família camponesa, cresceu entre camponeses e gradualmente se tornou um excelente estudioso, membro do Congresso do Partido Comunista Chinês e, finalmente, seu presidente.",objetiva
108,"['A escola é realmente um bom treinamento para a vida.', '1', 'objetivo']",A escola é realmente um bom treinamento para a vida.,objetiva
109,"['O café é uma metáfora para a incerteza política e pessoal em que esses exilados estão presos individual e coletivamente.', '1', 'objetivo']",O café é uma metáfora para a incerteza política e pessoal em que esses exilados estão presos individual e coletivamente.,objetiva
110,"['O famoso representante da arte italiana Antonio Ligabue (1899-1965) é o personagem central do filme, que homenageia a personalidade especial e o trabalho notável deste pintor - um artista ingênuo da boca do Pó.', '1', 'objetivo']","O famoso representante da arte italiana Antonio Ligabue (1899-1965) é o personagem central do filme, que homenageia a personalidade especial e o trabalho notável deste pintor - um artista ingênuo da boca do Pó.",objetiva
111,"['Mas a interação também pode ser involuntária e, portanto, os animais devem ter cuidado.Todo animal da savana conhece e usa rotineiramente as habilidades e a presença de seus ""colegas de quarto"".', '1', 'objetivo']","Mas a interação também pode ser involuntária e, portanto, os animais devem ter cuidado.Todo animal da savana conhece e usa rotineiramente as habilidades e a presença de seus ""colegas de quarto"".",objetiva
112,"['Diya independente é obstinada - treinando para se tornar uma dançarina tradicional nepalesa.', '1', 'objetivo']",Diya independente é obstinada - treinando para se tornar uma dançarina tradicional nepalesa.,objetiva
113,"['As pessoas se revoltam e Ollie consegue acalmá-las.', '1', 'objetivo']",As pessoas se revoltam e Ollie consegue acalmá-las.,objetiva
