,FINAL,FRASE,Unnamed: 2,OBJ/SUBJ
85,0,Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital,,objetiva
86,0,"Dell Latitude E6320 13? Notebook PC – Intel C... http://twib.in/l/9jKrp765kXE  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada",,objetiva
87,0,"Só pra terminar queria pedir pra dell me mandar outro notebook, esse meu ta velho",,objetiva
88,0,Muito bom....,,objetiva
89,0,"""...o modelo possui ainda 32 GB de memória RAM..."" oO!!! , Dell traz de volta notebook Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … @olhardigital",,objetiva
90,0,Dell Inspiron 1545 Windows 7 Pentium Dual-Core 2.10GHz 3GB Notebook …http://niche-products-awe-inspiring-deal.newoffers.info/buy/01/?query=141758243045 …  Link permanente da imagem incorporada,,objetiva
91,0,Retweeted Olhar Digital (@olhardigital):,,objetiva
92,1,Isso sim é um notebook. Mas poderia ser mais fino e leve. http://fb.me/44YKLpZz3,,subjetiva
93,0,Eu preciso Gustavo Oliveira http://fb.me/4eb61Gbya,,objetiva
94,0,"Sonhei com meu pai noite passada. Ele me perguntava as melhores marcas de notebook, após ver o meu. Então respondi: Apple, Dell e Sony. Lol",,objetiva
95,0,"Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienware 18 Ã© o n... http://bit.ly/1K92MwQ",,objetiva
96,0,Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://fb.me/3N4prMQAe,,objetiva
97,0,"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração 8GB 1TB por R$3.199,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-8gb-1tb-por-r3-19900/ …  Link permanente da imagem incorporada",,objetiva
98,0,"Veja isso: Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienwar... http://bit.ly/1IkwM1c",,objetiva
99,0,Ahh...meu notebook Dell tem apenas 1 mês de comprado!,,objetiva
100,-1,A pessoa compra um notebook e é obrigado a comprar um mouse...pq o touchpad não vale bosta! CCE >>>>>>> DELL,,subjetiva
101,-1,Perguntar não ofende: por quê a Dell vende um notebook com sistema operacional Ubuntu MAIS CARO que o mesmo notebook com Windows 8.1 ? ?,,subjetiva
102,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
103,-1,Nas opções do laptop mag indicaram o Dell XPS 13. Aquele notebook é horroroso em questões de design,,subjetiva
104,0,qual é a marca de notebook que não é mais virgem? aquela que já Dell,,objetiva
105,0,Extra – Promoção Incrível 24% OFF no Notebook Dell Inspiron i14-3442-B10 Intel Core i3 4GB… http://www.cupomdesconto.blog.br/coupon/extra-promocao-incrivel-24-off-no-notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8-1-preto/ …  Link permanente da imagem incorporada,,objetiva
106,0,"Glr, será que eu compro? http://www.dell.com/br/p/inspiron-14-5458-laptop/pd?oc=cai5458w8s1632258bbrp022w&model_id=inspiron-14-5458-laptop … Tem alguma marca de notebook ""não-top"" (= barata) que vocês recomendem pra eu pesquisar?",,objetiva
107,0,@pontofrio meu sonho era esse preço nesse Dell. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57 … Obs: Foto com o preço edi,,objetiva
108,0,Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC  Link permanente da imagem incorporada,,objetiva
109,0,"Dell 11.6"" (, Intel Pentium Dual Core, 2 GHz, 3 GB) Notebook http://ift.tt/1JhWZ21   Link permanente da imagem incorporada",,objetiva
110,0,"E o carregador de notebook da Dell, quem tem pra apoia?",,objetiva
111,0,"[liquidae] Notebook Dell Inspiron 14R-5437-A30 (14""-i5-6GB-1TB-GT740M) - R$ 1499,00: http://www.liquidae.com.br/dell-ree...ail&utm_term=0_18700b5b14-085aaee324-76613053 … Apesar… http://bit.ly/1MRH1lE",,objetiva
112,0,"@susiquirino   Olá, Poatardi! Opa, vemk http://pingu.im/1NztE9v  ;)",,objetiva
113,0,Alguém tem um cabo da Dell pra notebook pra me doar??,,objetiva
114,0,Dell Vostro 14 3445 Notebook (APU Dual Core E1/ 4GB/ 500GB/ Ubuntu) at price Rs18700.0 http://goo.gl/fb/rJYaL3,,objetiva
115,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
116,0,"Dell Latitude E6410 Notebook PC, Intel Core i... http://twib.in/l/MdA7ELB878M  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada",,objetiva
117,0,@Manhereno Esse aqui é uma versão atualizada do meu. Vem com processador da 5ª geração do i5 http://www.submarino.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …,,objetiva
118,0,Tenha um notebook leve e compacto com as melhores tecnologias. O Dell Inspiron 3442-B10 além de consumir menos... http://fb.me/6I2OIfoPz,,objetiva
119,0,"#Repost @shoppingleblon???Bom dia, workaholics! Bala de menta #Starbucks sobre notebook #Dell na #FastShop;... http://fb.me/4fiWfK5hL",,objetiva
120,1,Notebook Latitude Dell teve hd substituido e formatado com sucesso windows 7 64bit.  um cliente satisfeito.,,subjetiva
121,0,"Notebook com ou sem teclado numérico? Samsung ou Dell, respectivamente",,objetiva
122,-1,"Tenta voltar seu notebook da dell do windows 10 para o windows 8.1, VC vai ver q bosta é isso. Tela petra 5 horas.  Link permanente da imagem incorporada",,subjetiva
123,0,"Tipo, se eu entro na pag do meu notebook na dell e ovu na parte de drivers, ele fala que é compativel com win10 e me manda pra essa pag",,objetiva
124,-1,Nunca mais compro notebook da dell,,subjetiva
125,0,alguém aí tem notebook da DELL? é a melhor marca mesmo?,,objetiva
126,1,"eu olho pro meu notebook agora e me amaldiçôo por não ter comprado um asus, acer ou um dell",,subjetiva
127,1,Venho por meio desse Tweet q o notebook da @Dell é o melhor,,subjetiva
128,1,"Notebook da Positivo é péssimo, credo! Melhor notebook é Dell",,subjetiva
129,0,"SUPER NOTEBOOK 2 EM 1 DELL - Aproveitem super oportunidade zero lacrado na caixa preço a combina oportu...: R$ 0,00 - http://classificados.infonet.com.br/ClassificadosApp/publico/retrieveAnuncioPortal.jsp?CdAnuncio=528887 …",,objetiva
130,0,"#schoolsupplies Dell Latitude CPi 13.3"" Notebook http://dlvr.it/BwwW8s  #onsale #greatdeals  Link permanente da imagem incorporada",,objetiva
131,0,"Minha mãe sendo generosa no valor do notebook, isso significa i5, 1TB e 8gb de RAM. Agora a dúvida é dell ou hp.",,objetiva
132,1,Finalmente comprei um novo notebook. DELL I7 ? SEGUNDA-FEIRA ELE VAI SER MEU!  Muahahaahaja 0 retweet 1 curtiu Responder   Retweetar    Curtir  1,,subjetiva
133,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
134,0,"Notebook 2-in-1 Dell Inspiron 13 7348 133 Touch Fhd Intel Core I5-5200u  , Compra-Venta » Computadoras - Informática http://www.comerxi.com/notebook-in-dell-inspiron-touch-fhd-intel-core-i-u-ghz-uLima-c8-d201500000004645.html …",,objetiva
135,0,@richelmy @pontofrio alem disso as informações dele estão muito bagunçadas. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57,,objetiva
136,0,Notebook Dell Latitude E6410 Usado http://fb.me/3Vpyrz3iC,,objetiva
137,0,Aproveite mais essa mega oferta e ainda aproveite para concorrer a muitos premios da MagazineLuiza! http://fb.me/6CZdKTyYZ  0 retweet 1 curtiu Responder   Retweetar    Curtir  1,,objetiva
138,0,@eddzierrs @murilonist justamente a que eu tava pensando em comprar.. meu notebook (dell) acaba de morrer depois de quase 5 anos de uso,,objetiva
139,0,"#GeniosEletronica notebook da dell,como faço para remover http://bit.ly/1I0MLkQ",,objetiva
140,0,Dica de compra de notebook com placa de vídeo GeForce 920M da Dell http://quenotebookcomprar.com.br/dica-de-compra-de-notebook-com-placa-de-video-geforce-920m-da-dell/ …,,objetiva
141,-1,"Você acha que a @Dell tem notebooks com uma qualidade superior, você está enganado. #dell #dellLIXO #NÃOCOMPREDELL http://www.reclameaqui.com.br/14295761/dell-computadores-do-brasil/notebook-dell-qualidade-ruim/ …",,subjetiva
142,0,Vendo notebook dell 7520SE de alto desempenho. http://riodejaneiro.rioanuncios.com/riodejaneiro/Produtos/Informatica/Vendo-Notebook-Dell-7520Se-De-Alto-Desempenho.html …,,objetiva
143,0,"Dell Inspiron 7000 de 15"" é super fino e vem com Windows 10: O notebook ultrafino da Dell tem 1,9 cm de espess... http://bit.ly/1J9Znds",,objetiva
144,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
145,0,"Notebook Dell Inspiron I14-A20 Intel Core i5 8GB 1TB Windows 8.1 LED 14 Placa de Vídeo 2GB-Preço Sugerido: R$2429,10.http://www.socialize.com.br/?Thy_Reis",,objetiva
146,-1,eu tiro baidu hao123 br123 jogo do fuleco isurf webssearch  mas não consigo formatar um notebook DA DELL @DellnoBrasil,,subjetiva
147,0,vi um notebook da dell mais barato do que o normal e sinceramente quero morrer,,objetiva
148,0,Alguém conhece um lugar bom pra eu consertar meu notebook Dell Inspiron? Parece que a placa-mãe foi pro... http://fb.me/8rVWMMHuy,,objetiva
149,0,Esse notebook é bacana? http://www.extra.com.br/Informatica/Notebook/Notebook-Dell-Inspiron-I14-5458-A40-com-Intel-Core-i5-5200U-8GB-1TB-Gravador-de-DVD-HDMI-Bluetooth-Placa-Grafica-de-2GB-LED-14-e-Windows-8-1-1000056835.html?utm_source=zoom&utm_medium=comparadorpreco&utm_campaign=Informatica_Notebook&utm_content=1000056835&cm_mmc=zoom_XML-_-INFO-_-Comparador-_-1000056835 …,,objetiva
150,0,"@JonathanEnnes Use este link em uma janela anônima, irá atualizar no carrinho http://pingu.im/1Jt69OD",,objetiva
151,0,@DellAjuda bora trazer de volta os Allienwares! Bora botar preço competitivo! Tô doido pra trocar de notebook e não queria sair da Dell.,,objetiva
152,0,"Amigos, estou vendendo um notebook dell top. i7 com 8 gb de ram, HD de 1TB híbrido com 32 gb ssd, placa de video... http://fb.me/6Csrkc0r0",,objetiva
153,-1,"Nunca pensei que seria tão difícil , configurar um notebook da Dell",,subjetiva
154,0,Dell Brasil é líder em vendas de notebook no país.,,objetiva
155,0,Notebook Para Jogos Pesados da DELL: Notebook Para Jogos Pesados da DELL Com super desempenho e o melhor custo... http://bit.ly/1hqGaeB,,objetiva
156,-1,@opiomorph @mattoi_ eu fiz backup e clean install no notebook novo da minha mãe. já veio ruim de fábrica cheio daqueles programas da dell,,subjetiva
157,0,"@pontofrio pin, me consegue um desconto nesse, please: http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Dell-Inspiron-I14-5458-A40-com-Intel-Core-i5-5200U-8GB-1TB-Gravador-de-DVD-HDMI-Bluetooth-Placa-Grafica-de-2GB-LED-14-e-Windows-8-1-1000056835",,objetiva
158,0,Dell lançou o notebook híbrido Inspiron 15 Série 7000 - http://www.notebookonline.org/2015/08/19/dell-lancou-o-notebook-hibrido-inspiron-15-serie-7000/ …,,objetiva
159,0,"Vou levar meu notebook da Dell à assistência, ele está fazendo um ""bipe"" e não liga! Rezem por mim",,objetiva
160,1,Acabei de ganhar um presentão do @alencarfisio um notebook novinho e bem top da @Dell! ??? 0 retweet 3 curtiram Responder   Retweetar    Curtir  3,,subjetiva
161,-1,Td o que eu queria era o meu notebook sério nunca te pedi nada @dell,,subjetiva
162,-1,Nunca comprem notebook na loja http://ln.is/www.dell.com.br/HrryC …,,subjetiva
163,-1,finalmente comprei meu notebook  amém senhor finalmente comprei um da samsung msm pq da dell ta caro 0 retweet 1 curtiu Responder   Retweetar    Curtir  1,,subjetiva
164,0,assistencia tecnica notebook DELL goiania: Assistencia Tecnica notebook DELL goiania Solicite ... http://migre.me/reqXp  -> (62)84647699,,objetiva
165,0,"Notebook Dell i5 - 4GB - 1TB - 2GB dedicado - Led 14""- Prateado - Computadores e acessórios -... http://fb.me/4fwWPBI1X",,objetiva
166,0,@submarino tem como conseguir algum desconto nesse Dell? http://www.submarino.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …,,objetiva
167,-1,"Dell é o notebook que tem estrutura mais fraca, sempre quebra.",,subjetiva
168,0,Deals : http://ift.tt/1LiNEtG  #70813 Dell Latitude E6500 Notebook Computer Dual Core 2.4Ghz 250GB 2GB Windows 7 …  Ver foto,,objetiva
169,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
170,0,"Dell Vostro 3700 17.3"" (500 GB, 2.8 GHz, 4 GB) Notebook - bvcs74a16 …http://extremely-good-marvelous-auction.buy2day.info/buy/01/?query=271961238463 …  Link permanente da imagem incorporada",,objetiva
171,0,">>>>>> R$ 993,91<<<<< no cartão sub Notebook Dell Inspiron i14-3442-B10 Intel Core i3 4GB 1TB Tela LED 14""... http://fb.me/2FMsoX3J5",,objetiva
172,0,@Walmart_BR Pois vamos baixar o preço desse Dell e deixa ele menos de 2000? https://www.walmart.com.br/notebook-dell-intel-core-i5-5-geracao-4gb-1tb-i14-5448-b10-led-14-windows-8-1-aco-escovado-prata-com-placa-video-de-2gb/3144448/pr … #MenosMimimiEMais p,,objetiva
173,0,@canalshoptime tem como deixar esse Dell por menos de 2000? http://www.shoptime.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …,,objetiva
174,0,"Dell Latitude E6400 14.1"" Notebook …http://great-tech-deals-grand-items.newoffers.info/buy/01/?query=171898004371 …  Link permanente da imagem incorporada",,objetiva
175,1,Quando eu for comprar um notebook me lembrem de comprar o da Dell.  * garantia em domicílio.,,subjetiva
176,0,"por 1.605 no cartão sub OU 1700 no boleto Notebook Dell Inspiron i14-3437-A35 com Intel Core i5 4GB 1TB LED 14""... http://fb.me/3LhQHSU03",,objetiva
177,0,"Notebook DELL re-fabricado. 12 cuotas de $ 980,00",,objetiva
178,1,CHEGOU!!! #AlegriaDeCriança #Dell #latitude3450 #PC #notebook #ggwp #happy https://instagram.com/p/6hv_5_CfdK/,,subjetiva
179,1,"não se transforma fusca em ferrari, assim como não se transforma notebook positivo em notebook dell.",,subjetiva
