,Unnamed: 0,texto,rótulo,rótulo_texto
56,56,Rice é um cineasta muito pedestre para trazer qualquer vantagem ou personalidade para o lugar em ascensão que o diferenciaria de outras histórias do sul profundo.,1,subjetiva
57,57,"o filme funcionaria muito melhor como uma videoinstalação em um museu, onde os espectadores estariam livres para sair. imediatamente.",1,subjetiva
58,58,"se passa em hounslow , oeste de londres e hamburgo , o filme segue dois jovens de 18 anos com seus corações postos em um futuro no futebol profissional .",0,objetiva
59,59,uma bagunça quando se trata de personagens e escrita. . . mas funciona por baixo da pele como poucos filmes têm na memória recente.,1,subjetiva
60,60,"[verde é] o equivalente cômico de saddam hussein, e estou quase pronto para ir até a u.n. e pedir permissão para um ataque preventivo.",1,subjetiva
61,61,"de repente, um menino começa a adoecer e começa a sofrer das mesmas síndromes que reinaram desde o primeiro filme sofrido.",0,objetiva
62,62,"o filme, uma continuação de `` jack the dog``, é descrito como uma comédia de humor negro sobre um mulherengo reformado (nestor carbonell) que luta para manter sua família unida.",0,objetiva
63,63,"ele se tornará um avô, cercado pelo amor e apoio de uma família ou ele se refugiará em seu mundo de memórias e oportunidades perdidas?",0,objetiva
64,64,"paco , uma rapper e performer, indiferente a tudo, exceto sua carreira, sonha em chegar ao top ten chart.",0,objetiva
65,65,a luz ártica do Canadá brilha nesta novela de tundra congelada que dá vida extraordinária à existência privada do povo inuíte.,1,subjetiva
66,66,o roteirista-diretor pela primeira vez serry mostra um dom notável para contar histórias com este pequeno filme comovente e eficaz.,1,subjetiva
67,67,o astro do rock dewey finn (black) é demitido de sua banda e enfrenta uma montanha de dívidas e depressão.,0,objetiva
68,68,"apesar das aberturas simpáticas, rachel está convencida de que as coisas não são o que parecem e suspeita que seu bebê foi sequestrado.",0,objetiva
69,69,"hoffman passa muito tempo na tela sozinho e sem muito diálogo, usando apenas sua considerável habilidade física e presença na tela para fazer o papel.",1,subjetiva
70,70,"Michell, depois de algumas investigações, reduz os suspeitos a uma mulher que não é sua esposa, outro conhecido poeta vitoriano.",0,objetiva
71,71,"la cinta comienza pretendendo ser um drama, rM-apidamente se transforma em uma comédia e termina por ser uma paródia absolutamente predecível",1,subjetiva
72,72,pode não ser o `` último tango em paris `` mas sim . . .,1,subjetiva
73,73,"pode ​​não ser história M-^V, mas, novamente, e se for? M-^V, mas é uma das noites mais puramente agradáveis ​​e satisfatórias no cinema que tive em um tempo. ",1,subjetiva
74,74,diretor nolan mostra aqui que ele pode lidar com material inteligente com um toque .,1,subjetiva
75,75,"descobre que a vida de sua filha, desconhecida por ele de um caso com uma brasileira 15 anos antes, está em perigo e deve retornar ao Rio; tendo apenas cinco dias para finalizar o negócio e encontrar sua filha.",0,objetiva
76,76,"nem tudo no filme funciona , incluindo seu final um tanto conveniente .",1,subjetiva
77,77,apenas os mais viciados em violência cinematográfica em todas as suas formas encontrarão algo aqui para apreciar.,1,subjetiva
78,78,"quando a esposa do detetive Ben Simm é morta, ele tem que aprender a ser pai e mãe para sua filhinha enquanto procura por um vigilante que tenha seu próprio senso de justiça.",0,objetiva
79,79,"marco e melanie , um jovem casal, vivem uma vida de paixão, com situações caóticas, e todas as pequenas frustrações do dia a dia.",0,objetiva
80,80,o que realmente surpreende nas wisegirls é sua qualidade discreta e ternura genuína .,1,subjetiva
81,81,o marido conhece um homem que sabe o que fazer com sua sexualidade .,0,objetiva
82,82,membro do ira bobby sands é preso na irlanda do norte .,0,objetiva
83,83,"numa época de arte extremamente ambiciosa, a modéstia descontraída e o charme acessível de Evelyn são um alívio bem-vindo.",1,subjetiva
84,84,alguém acha que a história central de Brendan Behan é que ele era um namorado bissexual antes de começar a beber?,1,subjetiva
85,85,"é zuckerman que se depara com o segredo da seda e se propõe a reconstruir a biografia desconhecida desse homem eminente e íntegro, estimado como educador por quase toda a sua vida, e a entender como essa vida engenhosamente tramada se desfez. ",0,objetiva
86,86,"a animação é competente, e algumas das piadas são bem engraçadas, mas jonah... nunca sacode a qualidade opressiva e moralmente superior boa para você que quase automaticamente acompanha o entretenimento didático.",1,subjetiva
87,87,"desanimado e prestes a desistir de escrever, yun fei conhece uma jovem que não consegue ver cores, que o encoraja a perseverar.",0,objetiva
88,88,"enquanto na cadeia costumam brigar com o segurança , um lunático obeso .",0,objetiva
89,89,"tommy , que agora é um conhecido ativista, tem sua credibilidade destruída pelo livro que causa a separação deles.",0,objetiva
90,90,uma composição de gestos despojados de romance e apresentados em suas formas mais básicas.,1,subjetiva
91,91,Rowan interpreta o personagem principal de mesmo nome em um thriller de espionagem paródia.,0,objetiva
92,92,tudo se resume a saber se você pode tolerar Leon Barlow. não posso .,1,subjetiva
93,93,"agora, nos dias atuais, o ator infantil Julian (Luke Eberl), o espírito livre Hannah (Colombe Jacobsen) e a ex-professora Grace (Jenny Mollen), juntamente com uma equipe de documentários, vão em busca para este homem, que pode ser a personificação de todo o mal.",0,objetiva
94,94,os cineastas expõem esse culto deliciosamente perturbado capturando a vida cotidiana de seus membros.,0,objetiva
95,95,"é como um automóvel antigo que às vezes funciona suavemente, e às vezes dá guinadas e engasga . mas nunca pára .",1,subjetiva
96,96,"é uma história sobre amor, paixão, vício, brilho e a ignorância da ganância.",0,objetiva
97,97,Sunshine State é um belo exemplo de um filme cuidadosamente escrito. mas você não deve estar muito ciente de que um filme é bem escrito .,1,subjetiva
98,98,"comovido em seu coração com a urgência de alcançar a Cristo, ele tem uma ideia para tentar alcançar as massas em sua cidade para Jesus.",0,objetiva
99,99,"testando suas teorias com uma máquina do tempo de sua própria invenção, hartdegen é lançado 800.000 anos no futuro, onde ele descobre que a humanidade se dividiu em caçadores - e caçados.",0,objetiva
100,100,um filme envolvente e comovente que respeita seu público e seu material original.,1,subjetiva
101,101,"estamos todos por aí procurando pelo amor verdadeiro - uma coisa muito elusiva, e o acaso não é exceção.",0,objetiva
102,102,"eles se dão menos bem com Tom Donnerel , um jovem fazendeiro e noivo de Carrie & # 233 ; .",0,objetiva
103,103,"adiando seu desejo de jogar basquete no time da escola, Steve encontra um emprego depois da escola para se sustentar e busca um relacionamento com a rica mas infeliz sally (Arielle Paul).",0,objetiva
104,104,"antes de seus olhos no monitor de tv da loja, ele vê sua escolha aparecer como os números vencedores de $ 50 milhões!",0,objetiva
105,105,"como shrek, a imaginação visual do espírito lembra por que a animação é um meio tão perfeito para crianças, por causa da maneira como ela permite que a mente entre e aceite outro mundo.",1,subjetiva
106,106,tem um David Lynch Jones? então você faria bem em verificar este porque é uma ação de picos duplos. . .,1,subjetiva
107,107,"esta foi também uma época, em meio a um ambiente caótico e decadente, quando um homem tentou lidar com a perda de sua ex-amante.",0,objetiva
108,108,"fora de uma tempestade e quando a energia acaba, a escuridão envolve a casa.",0,objetiva
109,109,seu pai e irmão estão mortos por tantos anos.,0,objetiva
110,110,"no mesmo dia, homens armados tomam conta da escola - usando-a para esconder $300 milhões em cocaína que eles sequestraram.",0,objetiva
111,111,"é sempre decepcionante quando um documentário deixa de corresponder - ou oferece qualquer nova visão - do tema escolhido. Infelizmente, é exatamente isso que os fundamentos da família de Arthur dong fazem.",1,subjetiva
112,112,não é à toa que eles estão falando sobre “falar com ela”. `` é surpreendente .,1,subjetiva
113,113,"Jason perde uma importante tarefa de história intitulada 'big fat liar' na limusine do produtor de cinema Marty Wolf 's ( paul giamatti ) , que o lobo então transforma em um filme .",0,objetiva
114,114,"seu filho morre, seu casamento com Max é arruinado, e seu amante é de fato perigoso em seu ciúme e raiva louca, mas não importa quais sejam as consequências - seu espírito subversivo vive dentro dela, a forma, a obceca. ",0,objetiva
115,115,uma jornada maravilhosa do idealismo infantil à auto-absorção adolescente .,1,subjetiva
116,116,o futuro está a caminho de Atlantic City em um ônibus.,0,objetiva
117,117,"o impostor tem um punhado de momentos emocionantes e algumas boas atuações, mas o filme não voa. para começar, a história é muito pequena.",1,subjetiva
118,118,os resultados exagerados fazem o borscht cinto schtick de mel brooks parecer sofisticado.,1,subjetiva
119,119,a qualidade dos visuais de schwentke. . . fornece ampla compensação.,1,subjetiva
120,120,o rei escorpião é mais divertido que conan o bárbaro .,1,subjetiva
121,121,a melhor parte sobre ``gangues`` foi daniel day-lewis .,1,subjetiva
122,122,uma espirituosa adaptação para a tela desta clássica comédia de costumes com sua generosa oferta de frases curtas .,1,subjetiva
123,123,é um estudo das forças obscuras à espreita na vida dos adolescentes de hoje.,0,objetiva
124,124,alguns atores têm tanto carisma que você ficaria feliz em ouvi-los lendo a lista telefônica. Hugh Grant e Sandra Bullock são dois atores tão simpáticos.,1,subjetiva
125,125,"pense em 'glengarry glen ross' sem o diálogo do mamet, e é isso que você terá aqui.",1,subjetiva
126,126,mesmo aceitando isso no estado de espírito certo só pode fornecer tanta clemência.,1,subjetiva
127,127,"dá a você o pulso firme da vida em uma bela cidade vista pelos olhos de um personagem que, apesar da perda trágica e crescente decrepitude, sabe em seus ossos que ele é um dos homens mais sortudos do mundo.",1,subjetiva
128,128,"ninguém sabe disso melhor do que Vince, de 35 anos, de volta à sua cidade natal de Van Wert, Ohio, após uma ausência de 13 anos.",0,objetiva
129,129,a crescente evidência sobre o papel de um homem em uma longa história de abusos de direitos humanos leva a um exame crítico da diplomacia americana através das lentes dos padrões internacionais de justiça.,0,objetiva
130,130,"o que o salva... e o torna um dos melhores filmes baseados em videogames, é que o filme reconhece de antemão que o enredo não faz sentido, de modo que a falta de linearidade é o ponto de partida emocional e moral para a protagonista alice .",1,subjetiva
131,131,"a câmera sobrevoa o globo em deslumbrantes tomadas panorâmicas que aproveitam ao máximo o formato de tela grande, antes de mergulhar em uma série de locais exóticos, pegando o mundo inteiro em um alegre festival comunitário de ritmo.",1 ,subjetiva
132,132,"este thriller psicológico magistralmente calibrado prospera em suas performances tensas e atmosfera assustadora, mesmo que o roteiro seja um pouco curto.",1,subjetiva
133,133,"ao contrário da maioria das histórias de reencontros que culminam com um clichê & # 233 ; final feliz, filha de danang é um drama da vida real.",0,objetiva
134,134,"a equipe militar deve desligar o computador e sair, lutando contra zumbis, mutantes e o próprio computador, antes que o vírus escape e infecte o resto do mundo.",0,objetiva
135,135,a direção de Gondry é adequada. . . mas o que dá à natureza humana sua sensação única é o roteiro de kaufman .,1,subjetiva
136,136,"na verdade, Sean cometeu o erro de emprestar a Eddie $ 25.000 para cobrir seus gastos extravagantes.",0,objetiva
137,137,"ela está disposta a fazê-lo passar por qualquer coisa para `` curá-lo de t.s. , com pílulas, aconselhamento, terapia de eletrochoque, etc. mamãe também está preocupada com o futuro de Finn - quem vai cuidar dele ?",0,objetiva
138,138,uma soberba fatia gótica de terror do sul que é facilmente o filme mais doente a chegar aos cinemas em muito tempo. e quero dizer que da maneira mais agradável possível.,1,subjetiva
139,139,"quando suas protagonistas são um casal de dominatrixes comedoras de tela como Goldie Hawn e Susan Sarandon no seu melhor atrevido, até hokum cai facilmente.",1,subjetiva
140,140,"enquanto enders está inicialmente frustrado com sua tarefa, seu respeito cresce à medida que os codetalkers provam seu valor na brutal batalha para tomar saipan.",0,objetiva
141,141,"Cathy (Julianne Moore) é a dona de casa perfeita dos anos 50, vivendo a vida perfeita dos anos 50: filhos saudáveis, marido bem-sucedido, destaque social.",0,objetiva
142,142,. . . outro exemplo de como sandler está perdendo o jeito .,1,subjetiva
143,143,"tenho certeza que se você é um fã de hartley, você pode se divertir. . . eu, eu não me importei com isso.",1,subjetiva
144,144,"sua missão: coletar informações sobre uma organização que pode estar planejando a destruição do mundo, liderada pelo niilista yorgi.",0,objetiva
145,145,"sugere trocadilhos sobre ingredientes e sopa e alguém que está comendo macarrão, mas vamos apenas dizer que os ingredientes não combinam com uma refeição.",1,subjetiva
146,146,"`` leões de segunda mão `` segue as aventuras cômicas de um menino introvertido (osment) deixado na porta de um par de tios-avós relutantes e excêntricos (caine e duvall), cujas lembranças exóticas agitam o espírito do menino e reacender a vida dos homens .",0,objetiva
147,147,"Charlie é um homem que acorda e descobre que ninguém pode vê-lo, por acaso encontra Carol em uma estrada solitária.",0,objetiva
148,148,a mulher rica procura a ajuda de seus advogados para encontrar seu neto perdido cary e acaba encontrando-o morando em uma área carente com cass.,0,objetiva
149,149,"triste e sozinha, caroline perambula pela cidade exótica em busca de respostas, finalidade e paz de espírito.",0,objetiva
150,150,"durante uma semana, eduardo coutinho e sua equipe conversaram com 27 moradores de um enorme prédio em copacabana.",0,objetiva
151,151,"ao longo do caminho, eles descobrem uma conspiração sinistra que chega ao departamento de polícia e até mesmo ao mais alto nível do governo.",0,objetiva
152,152,vários graus abaixo dos concursos grosseiros que se espera da tarifa adolescente atual.,1,subjetiva
153,153,"os fios da trama envolvem um trio de travestis perdidos, duas garotas que nunca saem do banheiro, um par de bebedores inocentes menores de idade e um cara que está determinado a perfurar sua genitália, mas a história central segue tudo enquanto ela se propõe a humilhar seu ex-amante , mike , que dormiu com outra mulher .",0,objetiva
154,154,"boromir (sean bean) está morto, frodo baggins (elijah wood) e samwise gamgee (sean astin) foram para mordor sozinhos para destruir o anel, merry (dominic monaghan) e pippin (bily boyd) foram capturados por os uruk-hai, e aragorn (viggo mortensen), legolas (orlando bloom) e gimli (john rhys-davies) fizeram amigos dos rohan, uma raça de humanos que está no caminho da próxima guerra, liderada por seus rei envelhecido , thoden ( bernard hill ) .",0,objetiva
155,155,"sem o conhecimento dos anciãos, a filha da viúva veio para liquidar a propriedade, despejá-los e ter uma venda de propriedade tudo em um dia.",0,objetiva
156,156,a história e a amizade prosseguem de tal forma que você está assistindo a uma novela em vez de uma crônica dos altos e baixos que acompanham as amizades ao longo da vida.,1,subjetiva
157,157,"o melhor amigo de Steve, Sean, por outro lado, não teve tanta sorte.",0,objetiva
158,158,"loonies é um filme com humor leve e atrevido que, de uma forma comovente, nos leva ao mundo agradavelmente perturbado de cinco pacientes psiquiátricos um tanto romantizados.",0,objetiva
159,159,"eu estava com medo? apenas com a perspectiva do próximo projeto de Beck. vamos ver, uma casa assombrada, um navio assombrado, o que vem a seguir... dirigível fantasma?",1,subjetiva
160,160,"agora & # 38; para sempre é uma dramática história de amor contemporânea que combina elementos de espiritualidade, coração e integridade.",0,objetiva
161,161,"é o tipo de filme que você não pode recomendar porque é tudo enrolação e não muito de tom , mas você não consegue não gostar dele.",1,subjetiva
162,162,"um bom, empolgante, filme familiar com classificação G, destinado principalmente a crianças pequenas, mas com muito valor de entretenimento para evitar que os adultos se contorçam em seus assentos.",1,subjetiva
163,163,"apesar disso, é através das visões da graça envolvendo ele que ela descobre os passatempos demoníacos de seus pais, que incluem rapto, assassinato e possivelmente coisas piores.",,
164,164,ela deve olhar além de sua história com os homens em uma infância que foi interrompida por causa de um evento chocante que ela enterrou profundamente dentro de si mesma.,0,objetiva
165,165,esta versão faz jus tanto a Stevenson quanto ao gênero sci-fi .,1,subjetiva
166,166,a mãe acaba por ser sua cúmplice louca no assassinato em massa e sua busca pela imortalidade.,0,objetiva
167,167,o menino se apaixona por uma garota rica (deeksha).,0,objetiva
168,168,eu amo as cenas de abertura de uma cidade invernal de Nova York em 1899. poesia cinematográfica mostra o charme do velho mundo da cidade antes que as máquinas mudem quase tudo .,1,subjetiva
169,169,"claro , existem falhas , mas os momentos que fazem as coisas corretamente ver a tela estourar com confiança , ritmo , calor e um toque especial .",1,subjetiva
170,170,a pura estupidez do enredo (além de ser uma boa ideia) e o inescapável ar de desprezo do filme te derrubam.,1,subjetiva
171,171,nunca é um bom sinal quando a estrela de um filme passa o filme inteiro em coma. é pior sinal quando você começa a invejar a condição dela.,1,subjetiva
172,172,"será um ato de violência que empurra a menina para a feminilidade e a conduz a uma nova vida onde, não sem dor, tudo é possível.",0,objetiva
173,173,"o voyeurismo é a ordem geral, pois aqueles que assistem por prazer e aqueles pagos para assistir são mais do que esperados quando o delicado equilíbrio de poder da operação é distorcido pela rebelião.",0,objetiva
174,174,"é sexo e a cidade encontra o banquete de casamento do jovem san franciscano daniel chang , morando em casa com sua mãe tradicional e sem noção .",0,objetiva
175,175,a partir desse momento nada é como era antes. . .,0,objetiva
176,176,a pedra parece ter o dom de embrulhar o teatro em um manto frio de desespero urbano .,1,subjetiva
177,177,"uma crônica , que mostra os bastidores de uma tempestuosa colaboração entre a companhia de dança iconoclasta pilobolus e o lendário autor-ilustrador Maurice Sendak .",0,objetiva
178,178,a história picante precisa de carne mais dramática em seus ossos.,1,subjetiva
179,179,uma variação sutil de eu cuspo em seu túmulo em que nossa suposta heroína vinga patologicamente um ódio pelos homens.,1,subjetiva
180,180,"um filme densamente construído, altamente referencial, e um audacioso retorno à forma que pode se encaixar confortavelmente entre os melhores trabalhos de Jean-Luc Godard.",1,subjetiva
181,181,"para proteger seu relacionamento com John, ela `` abandona `` seu filho, tendo-o preso e trancado em uma instalação correcional `` mental ``, antes de coagir seu irmão mais velho Burt, que mora em Hollywood, para levá-lo. ",0,objetiva
182,182,"é algo do melhor filme de Scorsese, com toda a violência de revirar o estômago, folclore colorido de gangues de Nova York e outras marcas registradas de seu cinema pessoal pintadas em sua maior tela histórica de todos os tempos.",1,subjetiva
183,183,o equivalente a ir ao cinema de ir a um jantar e ser forçado a assistir o vídeo caseiro do nascimento do bebê do anfitrião e da anfitriã.,1,subjetiva
184,184,"é um filme repugnante, realmente é e não faz absolutamente nenhum sentido.",1,subjetiva
185,185,"o filme é bem elaborado e bem executado. se você estiver prestando atenção, as ``grandes reviravoltas`` são bem fáceis de adivinhar - mas isso não torna o filme menos divertido.",1,subjetiva
186,186,uma imagem de bem-estar no melhor sentido do termo .,1,subjetiva
187,187,é conciso sem ser sacarina; é engraçado sem nunca se levar a sério; é cheio de personagens lindos e ótimas atuações .,1,subjetiva
188,188,o problema é que o filme não faz ideia se é sério ou não .,1,subjetiva
189,189,"além dele, os outros moradores são ``baggers, ``criaturas semelhantes a humanos que são infectadas pelo sangue do homem alto, os anões, e, claro, as esferas de prata, todos tentando escapar do barreira que os contém e para o mundo real .",0,objetiva
190,190,katie é uma jovem que adora escalar .,0,objetiva
191,191,este filme parece ter sido escrito usando mad-libs. Não pode haver outra explicação . hilariamente inepto e ridículo.,1,subjetiva
192,192,"marido de nete busca conforto fora de casa, sua filha começa a se rebelar, e como a relação entre nete e seu pai não tem sido muito boa há anos, as coisas estão prestes a explodir.",0,objetiva
193,193,"milha zero é a história de um pai com uma notável capacidade de amar, mas que deixa o medo e o desespero dominarem suas ações.",0,objetiva
194,194,"agora , Akshay deve lutar contra aqueles que ele tem que superar para conseguir o que ele precisa para ajudar sua mãe e sobreviver na selva .",0,objetiva
195,195,mas para um celebrante esta semana santa é diferente .,0,objetiva
196,196,um filme para todos que se preocupam com o mundo que seus filhos e netos herdarão .,1,subjetiva
197,197,"um olhar conhecedor da amizade feminina, cravejado de humor urbano cru.",1,subjetiva
198,198,o filme é sombriamente engraçado em sua observação de quão mais cansativa e demorada é a ilusão do trabalho do que o trabalho real.,1,subjetiva
199,199,qualquer filme com crianças ameaçadas por uma bomba terrorista não pode mais passar como mero entretenimento.,1,subjetiva
200,200,"um filme que não mira muito alto , mas não precisa .",1,subjetiva
201,201,esta é uma história sincera. . . só não é muito envolvente .,1,subjetiva
202,202,"além de Amsterdã, o filme também viaja para Marrocos, para ver Larry e seu amor 30 anos antes, e para os Estados Unidos, onde mora a família de um & # 239; sha.",0,objetiva
203,203,"este é um filme inteligente que conhece sua música clássica, conhece seu freud e conhece seu sad.",1,subjetiva
204,204,ele entra em colapso quando o sr. taylor tenta mudar o tom para a corrida de um thriller .,1,subjetiva
205,205,"mas então veio Toni , um fotógrafo intrigante que parecia ver dentro de sua alma.",0,objetiva
206,206,"os dois homens negros (Anthony e Michael) são bem sucedidos no mundo de alta tecnologia do Vale do Silício, e se conhecem desde a infância.",0,objetiva
207,207,"por vingança, Ingrid mata com o veneno mortal de sua flor favorita: o oleandro branco.",0,objetiva
208,208,"ainda maior e mais ambicioso do que a primeira parte, spy kids 2 parece ter sido feito por um garoto de 12 anos altamente talentoso em vez de um homem adulto.",1,subjetiva
209,209,"se você está disposto a se divertir com isso, você não vai se sentir enganado pela alta infidelidade dos infiéis.",1,subjetiva
210,210,"embora finja expor a vida de traficantes masculinos, é explorador sem ser perspicaz.",1,subjetiva
