
texto, rótulo, rótulo_texto
"Apesar do tema central decididamente não muito feliz, este é um filme muito descontraído que resolve questões complexas e importantes, mas ao mesmo tempo consegue se divertir muito, flui naturalmente acompanhado por atuações convincentes (jovem Washington pode ser alguma coisa!) , boa música e ambiente.",0,subjetivo
"Explosão de testosterona cômica grosseira, essa é provavelmente a primeira coisa que me veio à mente depois de assistir ao filme!",0,subjective
"E o "Anão" Craig Charles era divino.",0,subjetivo
A atmosfera não é muito forte e o lado audiovisual já mencionado é um pouco mediano.,0,subjetivo
"Estou ansioso por Matrix II porque este empacotador de KungFu não é uma continuação do famoso Matrix.",0,subjective
Não é exatamente um filme clássico de fantasia histórica.,0,subjetivo
"Não falta nada no filme, tudo funciona como deveria.",0,subjective
"A primeira meia hora foi boa, mas não muito divertida.",0,subjective
"Antes de tudo, os criadores merecem minha admiração por uma interpretação agradavelmente civilizada e não exagerada de uma história emocionalmente forte que poderia facilmente ter se transformado em uma clássica 'leiteira americana'",0,subjetivo
"Um filme muito bom e sensível com um elenco surpreendentemente bom e ótima música.",0,subjetivo
Um filme "retrô" de muito sucesso culmina em cenas brilhantemente filmadas em um trem em movimento rápido.,0,subjetivo
"No entanto, sinto que ri mais dos criadores do que do próprio filme.",0,subjective
"O desenvolvimento da história foi um pouco chato para mim, o que não é um bom cartão de visita para esse tipo de filme.",0,subjective
"Bom assunto, mas o filme não traz nada de novo.",0,subjetivo
"E o próprio Steindler, com sua atuação, às vezes me lembrava Wůdy Elen da época em que atuava em filmes como amor e morte.",0,subjective
"O demônio indescritível Kasebier com o rei Friedrich II em um barco é uma cena climática inconfundível.",0,subjective
A série é um anime adulto sem vilões.,0,subjetivo
"Nada contra, melhor do que ter que se mexer.",0,subjetivo
"Em nenhum lugar está escrito o quanto os criadores se apegaram à verdade e o quanto eles inventaram, mas se eu contar com o fato de que a verdade se desenrola principalmente com base em fatos, então está tudo bem.",0,subjective
"Você pode assistir uma vez por ano, mas nada que me faça cair da cadeira (ou do sofá?).",0,subjetivo
Aparentemente uma tentativa de aproximar as filmagens do Snuff porn, mas bastante desleixado.,0,subjetivo
"Johnem respira, se enfurece, ama, se rebela, consegue o que quer.",0,subjetivo
5 estrelas para aquelas lágrimas de bebê :) e nem uma polegada a menos :),0,subjetivo
"A esposa dele era extremamente sexy, mas eu provavelmente não a quereria em casa com esse tipo de personalidade.",0,subjective
"Que havia realmente mais discussões em algum lugar no set do que filmar um filme de ação honesto de Hollywood também é evidenciado pelo trabalho de câmera relativamente maçante de John Mathieson (esse cara também está por trás de Gladiator, Phantom of the Opera ou Kingdom of Heaven).",0,subjective
"Poéticas que tocariam seu coração.",0,subjetivo
"A atmosfera é boa, mas a atuação é exagerada demais, e eu vou deixar você saber se o criador já tem planos para um longa-metragem.",0,subjective
"É bom que os criadores tenham se livrado do patriotismo e do pathos desnecessários durante a Guerra Fria.",0,subjective
"Nas duas primeiras temporadas (e isso é dolorosamente longo) ninguém tinha ideia do que ele estava interpretando/dirigindo, eventualmente algum conceito se cristalizou.",0,subjective
"A primeira meia hora é muito orientada para a ação, não me lembro de um anime de ação assim.",0,subjective
Eu gostaria de poder experimentar isso com meu parceiro.,0,subjetivo
"Mas não se preocupe, Bela vai comê-lo de qualquer maneira com um guincho, porque ela está impressionada com o comportamento de macho bestial dele.",0,subjective
"Não que fosse insuportável, mas ainda me parecia que os caras dos efeitos especiais estavam se divertindo um pouco demais.",0,subjective
"Tirei uma estrela para o segundo IP Man porque senti falta da excelente música da primeira parte.",0,subjective
"Mas este filme tem coração e é um desejo realizado para todas as garotas que sentiram falta de Stévie Rogers ou algo assim.",0,subjective
"Quando eu ouvi sobre este Blair Witch Mystery, [REC], filme de terror Cloverfield, eu tive que tê-lo, eu simplesmente posso.",0,subjective
Magdička cortado em um menino era tão bom para alguns rostos.,0,subjetivo
"Uma brincadeira de família calma e edificante sobre resgatar um golfinho aleijado criando um vínculo com um garotinho e criando uma barbatana caudal protética.",0,subjective
Mas a maior fraqueza de toda a série continua sendo Hana Vágnerová... Infelizmente!,0,subjetivo
Eu tinha grandes esperanças para esta série.,0,subjetivo
"Provavelmente a única maneira de lidar com esse húmus do fundo da indústria cinematográfica :-D",0,subjetivo
"Pedaço de merda terrível, eu não entendo porque Purcell está levando e Schumacher está dirigindo, deveria ter sido óbvio pelo roteiro que ia para P...",0,subjective
"Teria que dar muito azar para tal união não produzir perfeição.",0,subjetivo
"Mais um choque para mim - este é atualmente o 124º filme mais popular aqui... se PJ pudesse enfiar todas as 3 partes planejadas nesta filmagem extremamente longa, poderia ser um filme muito legal.",0,subjective
Os atores colocam todos os seus esforços na série de forma intransigente.,0,subjetivo
"Até certo ponto, é uma ideia genial ter o personagem principal usando a morte muito estranha de seu filho para sua própria glória, mas por outro lado, este filme é muito problemático moralmente.",0,subjetivo
"Que bobagem infantil, mas como ele consegue se mexer?",0,subjetivo
"Eu comia a Academia de Polícia toda vez que passava na TV, hoje só aguento num ônibus de turismo.",0,subjective
A águia no hospital era seriamente original.,0,subjetiva
Com o tempo, no entanto, tudo começou lentamente a se encaixar e fazer sentido, e fiquei completamente desanimado.,0,subjetivo
A história é temperada com uma bela partitura musical de Vangelis.,0,subjetiva
"Apesar de todas as críticas aqui e em todos os outros lugares, é o melhor filme tcheco-eslovaco-estrangeiro que vi recentemente, é por isso que estou feliz por incluí-lo nos filmes eslovaco-tchecos.",0,subjective
"No final, descobriu-se que todo mundo está confortável com uma vida diferente, alguém precisa da ilusão de segurança e ser uma ovelha, e o outro, apesar das armadilhas e perigos da vida comum, opta por tomar decisões livres, mas mesmo assim , tenho que dar o suficiente para a atuação simpática - 4",0, subjetiva
"Não é apenas um gênero comum, brilhantemente filmado, uma história de detetive cativante, mas sim um pequeno mergulho sociológico no clima da Nova York contemporânea - uma megalópole ocidental rica, funcional, mas ainda muito dolorida, a cidade da síndrome do 11 de setembro.", 0, subjetivo
"Espero que McMorrow continue nessa linha e não acabe como Shyamalan.",0,subjective
"Todo o enredo do filme, exceto algumas coisas ilógicas, foi bastante divertido para mim, os sustos foram 100% eficazes, assim como o xerife de.il que bebeu meu sangue muito bem.",0,subjective
"No entanto, se você vai ao cinema para fazer truques digitais, então este é o filme para você - existem realmente "alguns" truques digitais aqui e ali.",0,subjetivo
"Além disso, acho que Clarke tem mais espaço aqui, então dê um joinha para mim.",0,subjective
Aqui os dois é um pouco mais de comédia.,0,subjetivo
"Mas quando comparo com o último, fico tentado a dar 4 estrelas.",0,subjective
"Eu costumava odiar esse filme musical e não sei por quê, e agora sempre gosto de assistir ou experimentar quando não estão mostrando nada.",0,subjective
"Não foi salvo pela rainha L., nem por Depardieu, nem por cenas de flash, nem por mais ninguém.",0,subjective
"E finalmente o absolutamente (ou seja, ainda pior do que o normal) Richard Müller sem entonação, que estava claramente sob a influência de...",0,subjetivo
"Principalmente graças à ótima câmera e edição, às quais foram adicionadas músicas de época e um cenário de qualidade, e juntos o filme foi extremamente bem-sucedido nesse aspecto.",0,subjetivo
"E faz muito tempo desde que eu vi um filme que precisava tanto de uma sala de cinema.",0,subjective
"Além disso, a música de Bárt é absolutamente terrível, pior que um fio no ouvido.",0,subjective
"O enredo é muito previsível, então você já sabe desde o início quem é o culpado pelo quê...",0,subjetivo
"Quanto mais melhor, mais intelectuais as listras Honzk, mais intelectual Adidas.",0,subjetivo
Há muito tempo não vejo uma comédia Tcheca tão agradável.,0,subjetivo
"John Stockwell sabe fazer filmes, e embora eu goste de peças completamente diferentes dele, que algumas pessoas mais inteligentes não entendem, eu também gostei bastante desse filme. 60%",0,subjective
"Eu veria Thomas Jane como um grande obstáculo para o Justiceiro, porque ele tem quase o mesmo carisma de um cadáver de um mês, e na maioria das cenas ele usa uma expressão incrivelmente entediada, que, por exemplo, quando Rusák está jogando paredes com ele parece bastante irônico.",0 , subjetivo
"Eu me diverti com o filme, que serviu ao seu propósito.",0,subjective
Para mim, claramente um dos melhores animes...,0,subjetivo
Ji Lee estava ótimo e foi a razão pela qual comecei a assistir e não parei.,0,subjetivo
"Originalmente eu ia dar * por algum sentimento, mas depois mudei de ideia porque esse filme é simplesmente ruim e merece um odpd.",0,subjective
Este é um passeio de comédia de ação que raramente é visto.,0,subjetivo
"Bem, vou te dizer, você não viu o tipo de "Jogo das Sombras" que eu vi.",0,subjetivo
"Apenas um filme que não ofende, mas também não emociona.",0,subjective
"A única coisa que consigo pensar sobre esse filme é nojo, inutilidade, japoneses malucos.",0,subjective
"Acrescente a isso uma trilha sonora incrível, alguns outros atores simpáticos e um roteiro surpreendentemente bom (embora clichê).",0,subjective
"Atmosfera, música, edição, iluminação e truques são bons, as máscaras às vezes vacilam, mas fora isso são basicamente 38 minutos de tédio, não é nada.",0,subjective
"Alguém enlouqueceu com um personagem desses e eu estou rindo muito :))) tanto na frente do criador quanto na frente do ator ""Robert Sheehan"".",0,subjective
"Não conheço um filme ou série com cangurus em um dos papéis principais que daria certo.",0,subjective
"Você pode assistir, gostei bastante e acreditei nos personagens.",0,subjective
"Durante a operação de 21 minutos, eu batia na cabeça da anestesista com alguma coisa, ela deveria informar o médico sobre as funções fisiológicas, mas ela late para eles como uma professora para crianças rolando em uma poça.",0,subjetivo
O reino da caveira de cristal não é tão perfeitamente ornamentado e atemporal como era em sua época,0,subjetivo
Este filme é uma revelação gentil e adorável na cena cinematográfica tcheca.,0,subjetivo
"Um filme muito emocionante e brilhante que constantemente perturba sua psique cada vez mais.",0,subjetivo
"É muito difícil vivenciar esse remake de alguma forma, porque mesmo ele não é experiente e intenso como deveria ser.",0,subjective
"Tematicamente, eu o compararia com os filmes Sob a Superfície e Crime Quase Perfeito, que são dois graus mais altos.",0,subjetivo
"No meu caso, os dois componentes não se conectaram e apenas observei friamente uma sequência de imagens refinadas, sem nenhum efeito emocional.",0,subjetivo
"McLovin é um cara muito decente que teve muita sorte de encontrar esses dois policiais e a dupla inseparável conseguiu o que queria, mesmo que suas vidas sigam em direções diferentes, infelizmente é assim que às vezes acontece, mas a amizade não acaba. . ",0,subjetivo
O louco de Gondry e seu filme louco.,0,subjetivo
"Um anime cheio de humor, ação e... animais.",0,subjective
Eles provavelmente economizaram o orçamento para as filmagens :/) Definitivamente não recomendado - !perda de tempo!,0,subjetivo
"[SPOILER] A cena em que a esposa mata seu marido nazista honestamente me fez rir, então você é uma estrela.",0,subjective
Sinceramente esperava pior.,0,subjetivo
"Eu perdoo o enredo exagerado, porque o filme foi feito em uma época em que ninguém ainda o enfiava debaixo do nariz do público 2 vezes por semana.",0,subjective
Petr Čepek é simplesmente um, e ainda estou admirado com sua atuação.,0,subjetivo
Pelo contrário, tudo é levado muito a sério e do meu ponto de vista é tudo um pouco forçado e forçado.,0,subjetivo
"Eles se tornarão o tradicional culminar de todo o programa, o que certamente contribuirá para o clima natalino em sua casa.",0,subjetivo
"Porque eles têm sucesso onde todos os outros heróis, vilões e tramas falharam.",0,subjective
"Sua linguagem é tão tecnicamente precisa e sua compreensão tão detalhada que é graças à combinação desses elementos que podemos ver imagens tão polidas.",0,subjective
"Tenho que admitir que, no que me diz respeito, este é o melhor Superman de todos os tempos e a DC fez um ótimo trabalho ao competir contra a Marvel com este.",0,subjetivo
Mais importante é a atmosfera trágica do filme e seu enredo.,0,subjetivo
"Está entre 3 e 4, mas estou dando um 3 porque meus amigos me convenceram a assistir a este episódio, então não saberei quem tem medo de Virginia Woolf por um tempo.",0,subjective
A mitologia de toda a história também é bem construída.,0,subjetiva
"Um enredo brilhantemente desenvolvido que às vezes me chocou!",0,subjetivo
"E eu me saí bem, porque o drama policial assustadoramente opressivo que desembaraça relacionamentos emaranhados no meio de uma nevasca, em uma cidade (e estado) onde o assassinato não é totalmente comum, me atraiu muito rapidamente.",0,subjective
Mas como forragem para o tubarão mais inteligente desde o septuagésimo quinto de Deus.,0,subjetivo
"Manter o ritmo do filme e 100% de concentração em um filme tão complexo, que não é difícil em termos de história, mas complexo graças à incrível quantidade de detalhes e textos do roteiro, sem os quais você simplesmente se perde, é um feito realmente exigente.",0,subjetivo
"Ótima atuação de Ewan McGregor, por isso o filme ganhou 5 estrelas de mim.",0,subjective
"John Cena expõe bunda de cerveja, o que você quer mais :) Eu realmente não entendo essas classificações baixas, mas essa é a norma para comédias",0,subjetivo
"Ele ainda consegue fazer um filme estiloso, cheio de cenas espetaculares (a perseguição nos túneis foi divina) ainda é engraçado, mas nem tanto.",0,subjective
Um filme de gênero astuto com algumas boas ideias e um ótimo elenco.,0,subjetivo
"E estou muito, muito feliz com isso, porque é a melhor série de ação do momento.",0,subjective
"É uma homenagem calorosa a todos os musicais que ele deu vida com isso.",0,subjective
"Pegue uma cadeira ou o que estiver à mão e foda-o com uma vara.",0,subjetivo
Sua atuação nunca deixa de me surpreender e provavelmente nunca deixará.,0,subjetivo
"Quando você tem um cara como esse e um cinegrafista habilidoso à sua disposição, você pode ter o roteiro mais estúpido e será assistível.",0,subjective
"Os visuais são agradáveis, a música é epicamente de conto de fadas e as crianças são digeríveis.",0,subjective
"Tecnicamente executado com excelência, mas no que diz respeito ao conteúdo, não fiquei satisfeito, esperava alguma resolução, senão um final.",0,subjective
"James Ivory deve ter nascido em uma mansão assim, porque ele dirige tão cuidadosamente quanto o Sr. Stevens fala com a Srta. Kenton e capta perfeitamente a atmosfera da aparentemente pacífica casa de família.",0,subjective
"Se não fosse pela câmera desgrenhada estupidamente Bourne, teria sido um filme bastante assistível",0,subjetivo
Por si só, talvez o original fosse uma aula melhor para mim 65% Ps: Já os créditos iniciais da versão antiga deveriam ter tirado a carga!!,0,subjetivo
"Mas não posso dar uma classificação completa porque as sequências borradas artificialmente em câmera lenta rastejaram pela minha garganta o tempo todo em que assisti.",0,subjective
"Absolutamente brilhante comédia de personalidade dividida interpretada por ninguém menos que o mestre dos mestres Jim Carrey.",0,subjetivo
"Eu não sei como dissecar ainda mais, eu definitivamente tenho sentimentos mais ou menos positivos sobre isso.",0,subjetivo
"Como se eu não entendesse o que ela estava fazendo, aquela mulher.",0,subjetivo
"a continuação solta de Rotten não é mais tão pisoteada com humor, mas certamente não diminui sua qualidade.",0,subjetivo
"Quando você ama Marlon Brando, não há com o que se preocupar.",0,subjetivo
A pior de todas as partes da saga em termos de enredo.,0,subjetivo
"Sentimos isso em cada cena, na atmosfera sombria e na música Tangerine Dream.",0,subjective
"Você ficará mais satisfeito com o final, que você realmente não espera!",0,subjetivo
"Se não fosse o final, na minha opinião, estúpido, ou as últimas 3 frases, teria sido uma pontuação completa, porque eu gostei muito...",0,subjetivo
A ideia do filme pode ser expressa em uma palavra: dúvida...,0,subjetivo
Honestamente, não nos divertimos tanto em uma comédia há muito tempo.,0,subjetivo
A atmosfera se foi e a coisa toda parece mais um episódio muito longo de uma série de crimes com muitos personagens.,0,subjetivo
"Embora eu não tenha recebido a quantidade necessária de sustos, me senti desconfortável o tempo todo, o que acontece comigo com regularidade férrea em todos os filmes de terror do Japão.",0,subjective
Os resultados são surpreendentes e inspiradores, mudando a forma como pensamos viver no século 21.,0,subjetivo
Além disso, há algumas pessoas muito novas trabalhando no controle de tráfego aéreo.,0,subjetivo
"Aí começou a treta e depois do 6º episódio percebi que não preciso ver tudo...",0,subjetivo
"Eu sabia desde o anúncio que seria um fracasso no quadro de uma imagem de 'horror', que definitivamente não tem círculos.",0,subjective
"Talvez fosse melhor se o filme todo fosse um pouco mais sério e não tão bobo para crianças.",0,subjetivo
Ela acabou de entender. Woody geralmente tem boas ideias e lidou bem com a frase 'Prefiro ter sorte do que ser bom'.,0,subjetivo
Talvez seja exatamente aí que reside a singularidade de Bresson - o melhor de seus filmes pertence apenas a nós.,0,subjetivo
"Tenho um fraco por este filme, tenho um certo vínculo com ele, quero torná-lo meu, dizer que descobri sua perfeição.",0,subjective
"Simplesmente, se você sentir vontade de um filme como esse, assista, provavelmente não vai entender e não vai entender por que estou dando uma classificação de 5 estrelas, pelo menos aproveite a música e a atmosfera." ,0,subjetivo
Eu posso curtir filmes assim e não preciso de performances de tirar o fôlego dos protagonistas ou algo assim.,0,subjetivo
"As cenas com a fuga dos personagens principais do desastre são sempre extremamente exageradas, como é comum com R. Emmerich.",0,subjetivo
"Foi bem feito, também tinha boa música..",0,subjetivo
"No entanto, a terceira parte e seu final, a explicação do que aconteceu, matou o filme para mim, porque eu fiquei tipo ""Que porcaria!?"",0,subjetivo
Eu possuo o DVD e é sempre uma ótima experiência!,0,subjetivo
"Se eles preferissem enviar esse dinheiro para descartar o plástico nos oceanos, fariam muito melhor.",0,subjective
Acabei de ver o futuro do filme de ação ...,0,subjetivo
"Eu cortaria facilmente algumas cenas de brinquedos, mas elas também podem ser encontradas na trilogia antiga.",0,subjective
Ela é propriamente insana e os truques do computador não são nada ruins.,0,subjetivo
"Parecia um pouco com Magnolia, Crash e Babel... no entanto, os personagens eram incrivelmente críveis.",0,subjective
A vida não é um cabaré e finais felizes não acontecem.,0,subjetivo
"E não importa que seja uma loja de doces sem imaginação.",0,subjective
"Como se eu ri muito com isso, mas não, também não foi chato, então o filme fica dentro da faixa aceitável.",0,subjective
"O filme é tão decente, mas não me atrai de forma alguma e, acima de tudo, é terrivelmente longo e, portanto, muito chato.",0,subjetivo
"Que diabos, a ideia era boa, mas o filme em si não poderia ser salvo dançando Elvis.",0,subjective
"No começo me senti bem, eu ri das piadas, mas... depois de cerca de uma hora assistindo tudo ficou tão estereotipado que eu fiquei entediado, não havia muita coisa acontecendo, não havia nada para rir mais.", 0, subjetivo
"Um pequeno milagre, uma comédia tcheca que vale alguma coisa.",0,subjetivo
Bem, a primeira Divergência também merecia um lugar para mim.,0,subjetivo
"Acho que você poderia ter feito algumas coisas assim lá, mas não precisava ser quase tudo e por tanto tempo.",0,subjective
"Eu definitivamente não consideraria Withnail e eu um sucesso cult, há definitivamente alguns grandes momentos e ideias que valem a pena ver e ouvir, e provavelmente é aí que termina.",0,subjective
"Pelo menos o outro é ingênuo, sim, e provavelmente herdará Asgard.",0,subjetivo
A primeira é uma trama de amor horrível e clichê ala a mais doce de Hollywood.,0,subjetiva
"Completamente não gorduroso, sem sal (ugh, como eu odeio escrever isso).",0,subjetivo
Nos últimos anos, para mim pessoalmente, este conto de fadas é um dos mais surpreendentes de dezenas de muitos.,0,subjetivo
"Um programa interessante do arquivo ČT, que pode ficar lá por mais uma década.",0,subjective
"Um filme que vou esquecer muito rápido porque não me deu absolutamente nada.",0,subjective
Mas o resto do filme valeu a pena.,0,subjetivo
"Infelizmente, este filme é um pouco pior do que esses filmes, então não tem 5 estrelas para mim.",0,subjective
"Pessoalmente, agora eu entendo melhor as "explosões de testosterona" :-) Damien Chazelle tem 30 anos, não me atrevo a imaginar que delicadeza ele se tornará aos 80 anos...",0,subjetivo
"Troy não é um canalha completo, mas não sobraria muito se não fosse pela expedição generosa.",0,subjective
"Talvez eu esteja possuído pelo diabo, mas ser salvo (por Deus) pelo pai do Dr. Shepard e depois ir para a luz me lembrou fortemente de uma religião sem nome.",0,subjective
"Felizmente, esta não é uma ""mensagem" de desejo, mas um horror "hardcore puro"" que não finge ser mais do que é e acredito que dará um bom chute em muitos espectadores...", 0, subjetivo
"A história do traumatizado Marty (Marcy May, Marlene) cativa com a atmosfera única e nervosa dos lugares remotos do nada americano, artisticamente apoiada por cores decentes e tomadas cuidadosamente compostas.",0,subjective
Então eu vou dar a ambos a mesma classificação.,0,subjetivo
"Os depósitos estereotipados no conceito de 007 (Moneypenny, Q...) foram removidos com sucesso dos filmes anteriores, para minha grande surpresa não foi perceptível na qualidade do filme, pelo contrário, e graças a Deus o melhor permaneceu !",0,subjetivo
"Se você não leu o livro, certifique-se de lê-lo primeiro antes de entrar no filme.",0,subjective
"Não se deixe tentar por Seagal ou pelas batalhas asiáticas e certamente não pelo slogan na capa do DVD, que está completamente errado - ele é Seagal lutando contra o pai de uma filha completamente desconhecida para ele, e ele não tem ideia do engano dos bastidores que foi preparado para ele." ,0,subjetivo
"Quanto mais demorava, pior ficava!",0,subjetivo
"....ao assistir, uma pessoa passa por toda a gama de emoções que ela tem dentro de si... de desgosto a um ataque de riso e emoção...eu aplaudo de pé.",0,subjetivo
"A história de todo o filme foi mediana para mim, como eu disse que não me deslumbrou muito, acho que definitivamente existem muitos filmes melhores do que este.",0,subjective
"Um guisado quase indigesto do diretor de várias partes da série de filmes SAW prova que estamos lidando com uma alma verdadeiramente quebrada.",0,subjective
"O segundo (""grávida") é uma porcaria muito embaraçosa, o terceiro (""eutanásia humana com parto bruto e subsequente quadratura da esposa catalética"") poderia ser decente se não fosse o cara horrível no glorificado papel e o grotesco geral.",0,subjetivo
"Um filme absolutamente aventureiro, embora não particularmente animado com cabelo falso, mas também podemos encontrar um pouco de ficção científica com um bom tema aqui. Um lote de conto de fadas para 1956.",0,subjective
"Achei o final desnecessariamente patético, não acho que a falta de diálogo entre os dois países seja culpa da Coreia do Sul, porque as elites políticas da direita estão usando a Coreia comunista para intimidar o público.",0,subjetivo
"Ela realmente se apaixona por Bajaj apenas quando está convencida de que encontrou nele um admirador misterioso, um herói admirado e um amigo.",0,subjetivo
"Nem o tradicionalmente excelente Hugo Haas nem o surpreendentemente ruim Antonie Nedošínská ("Sou uma mulher originalmente gentil!") podem elevar este filme da mediocridade...",0,subjetivo
Comédia romântica fresca com um casal fresco - Michael J. Fox e Gabrielle Anwar.,0,subjetivo
O enredo engraçado e o clima natalino são uma boa ideia coadjuvante do filme.,0,subjetivo
"Se não for tão longo, dou quatro estrelas.",0,subjective
"Na verdade, não gostei apenas da ideia, mas também do processamento geral, de que cada elemento representa uma determinada criatura.",0,subjective
Eu realmente esperava mais desse filme.,0,subjetivo
"No final, a impressão final é semelhante ao filme anterior do diretor Napola, embora o processamento tenha sido um pouco melhor lá.",0,subjective
Não funcionou para mim como comédia.,0,subjetivo
"É uma experiência empoderadora que o cinema clássico e a TV grande no conforto da sua casa nunca substituirão.",0,subjective
"O clima leva o público a uma busca ansiosa pela perseguição, para ser coroado com uma polêmica ousada e uma acusação à sociedade.",0,subjective
"Drama de espionagem política decente como Spy game ou Syriaa.",0,subjetivo
"Achei que era artificial quando o vi pela primeira vez.",0,subjective
"Acho que teria sido um espetáculo muito mais interessante se Tarkovsky tivesse focado exclusivamente no personagem de Ivan e não tivesse representado, por exemplo, um enredo de amor desnecessário entre dois personagens coadjuvantes.",0,subjective
A escola acabou e há um arrepio no ar.,0,subjetivo
Infelizmente, a descida do toboágua no barco parecia algo da Idade Média.,0,subjetivo
"E a cena com o cara espionando a esposa dele me pareceu desnecessária, embora supostamente tenha levado o personagem principal a comprar uma arma... bem, eu não sei.",0,subjective
"O caos inicial, quando ainda não está claro o que realmente aconteceu, parece bastante promissor e tem alguma atmosfera.",0,subjective
"A história poderia ter sido um pouco mais interessante (mas eu pensei que era o caso dos quadrinhos também), mas eu realmente não me importei.",0,subjective
Essa música me assusta...,0,subjetivo
Número um também funciona bem como drama.,0,subjetivo
Atualização de 80% 04/01/2015: estou aumentando a classificação para caldeira completa.,0,subjetivo
"O assunto em si não é ruim, mas o roteiro é tão estúpido que eu tive que rir.",0,subjective
"Um rosto antipático ao lado do outro, fingindo agir como Olha como eu sou civilizada e casual (e ótima), é ainda pior com atrizes.",0,subjective
A única cena interessante do filme foi interpretada por Brad Pitt no armário.,0,subjetivo
Este filme me decepcionou considerando a classificação bastante alta.,0,subjetivo
"Foda-se, quando a trama começa a se comunicar com você, é incrível.",0,subjective
"é uma pena que alguma atriz não a interpretou, mas Jaroslava Obermaierová.",0,subjetivo
