Arquivo;Polaridade;OBJ/SUBJ;43;objetiva;FRASE
0_18938.txt;1;subjetiva;;;adorei o produto já estou a um ano com ele e não me arrependo em nenhum momento
0_2075.txt;1;subjetiva;;;uma camera com bom autobenefício porem desconhecida o que pode fazer com que ao ressuscitar de cambio técnica ter dificuldades de encontrar peças porem isso é caso raro e seu preço é muito em conta
0_22488.txt;1;subjetiva;;;até agora mostrouse um note excelente eu já tive um dell latitude e não me arrependo de ter trocado ele por esse da cce alem de ser bem rápido a bateria dele durou mais do que o dell antigo que eu tinha recomendo a compra pois alem de ser mais barato ele entrega o que promete desempenho por um preço justo não se prendam as marcas pois todas elas usam os mesmos componentes
0_230487.txt;1;subjetiva;;;desempenho custobenefício compatibilidade conectividade design bom bom para empresas lindo … ótima frequência bom desempenho
0_232711.txt;0;objetiva;;;antes de adquirir um eu procurei na net tudo sobre ele seu funcionamento sua capacidade desempenho quantidade de aplicativos disponíveis e comprei tranquilo hoje em dia nem uso mais meu computador pessoal somente meu ipad chego do trabalho sento na minha sala e navego na net jogo e leio meus demais na comodidade do sofá além de substituir todos meus cadernos na faculdade e até alguns livros também não tem todas as funções de um computador de mesa mas supre muito bem as principais necessidades além de ser prático e pela mobilidade que te proporciona
0_237006.txt;1;subjetiva;;;o celular moderno e fino sim en do leve e confortável para se usar
0_252575.txt;1;subjetiva;;;mais barato que o ipad e tão bom quanto
0_252594.txt;1;subjetiva;;;é de ótimo uso prático bateria durável leve
0_257577.txt;1;subjetiva;;;é muito bom eu recomendo
0_257592.txt;-1;subjetiva;;;sinto muito mais eu não compraria outra vanessa lcd pela imagem
0_25831.txt;1;subjetiva;;;excelente desempenho custo benefício adquiri e não tive problema algum
0_259325.txt;-1;subjetiva;;;gostei do design dele mas a duração da bateria é muito pouca
0_259386.txt;-1;subjetiva;;;eu até gostei do tablet mas a bateria dura muito pouco
0_27904.txt;1;subjetiva;;;zoom ótico 3x o que considero muito bom para uma camera neste valor a imagem é ótima e o visor também é grande
0_281044.txt;-1;subjetiva;;;gente não comprar vocês vão ter muita dor de cabeça …
0_282742.txt;-1;subjetiva;;;a multilaser deverá tomar uma providência imediata tipo recall nesses aparelhos tablet computador life ao que tudo indica e pela quantidade de reclamações o defeito é de fabricação não se consegue usar o aparelho normalmente não dura mais do que alguns minutos e logo trava sem recursos para o destravamento só depois que a bateria descarregar
0_288857.txt;0;objetiva;;;o produto apresenta problema intermitente com o touchpad
0_29119.txt;-1;subjetiva;;;qualidade do som deprimente difícil ter conversas com esse telefone péssimo para escutar e para falar menu nãoamigável despertador complicado péssimo para salvar números chamadas e enviar mensagens quem já teve um nokia jamais vai querer um celular desse
0_29183.txt;0;objetiva;;;um produto de preço acessível e com muitos recursos
0_296824.txt;-1;subjetiva;;;comprei um tablet e em number meses de uso ele apresentou um problema na tela relativo a este url parece que tem uma espécie de um resíduo na tela decorrente de defeito inerente ao produto pelo que eu percebi esse problema é constante e aparenta ser um defeito de série uma empresa séria por si teria feito recall mas acontece que não parece ser o caso da samsung o pior não é isso nem é o maior problema em seguida fazendo uso do tablet moderadamente no que surge outro problema e muito pior url ou seja a tela está tremendo liguei para a samsung e eles me informaram que se depois de fazer a restauração do produto ou seja consertar e perder todos os dados eu levasse em uma assistência samsung que eles resolveriam em seguida peguei a nota fiscal do aparelho e me dirigi à assistência me informaram que não fazem reparos em peças internacionais a empresa é internacional mas a garantia sony vôo não comprem
0_300012.txt;1;subjetiva;;;estou para ver melhor custo benefício o touch é perfeito ele é rápido superportátil leve e bonito enfim é o produto mais prático que eu já conheci a sansung se superou a câmera fotográfica tem uma boa resolução e a gravação de vídeos é show de bola a conectividade é fora de série e todo dia descubro um aplicativo interessante a bateria dura cerca de number horas para uso intermitente mas em stand by não consome quase nada comprei o aparelho para a minha filha e acabei dominando
0_300457.txt;1;subjetiva;;;quem precisa de um netbook compra na maior confiança pois e ótimo
0_301333;1;subjetiva;;;produto com design muito bem elaborado e funcional aliado a um conjunto potente de hardware o que estimula seu uso tanto para divertimento quanto para trabalho
0_309311.txt;1;subjetiva;;;a televisão em si é boa mas falta uma aceitação maior dos outros canais sim ser4 da televisão aberta
0_309874.txt;1;subjetiva;;;quando fui comprar esta televisão que seria destinada ao computador e o video game somente procurava por um modelo full hd sem conversor pois não era destinada a assistir programas de televisão mas pelo preço optei por levala quando ás liguei fiquei surpreendido que imagem em hd melhor do que a que outra que tenho em casa que é de uma marca bem mais conhecida e cara uma ótima quantidade de entradas sendo que só hdmi são quatro evita muito o tira e põe de cabos o tempo todo no video game surpreende pela qualidade dos gráficos que ficaram muito lindos em number 0i neste aparelho de televisão não esquenta nada e tem um maravilhoso contraste que pode ser alterado por uma função que o expande ainda mais bom se alguém precisa de um aparelho de televisão muito bom e barato este é recomendado por mim com avaliação muito boa
0_31035.txt;1;subjetiva;;;mau it o boa qualidade e preço e muitas formulas lcd durabilidade caracteristicas
0_31205.txt;1;subjetiva;;;bonito design nitidez das imagens som exemplificado super controle remoto
0_313203.txt;-1;subjetiva;;;não há possibilidade de comprar esse produto por se tratar de um sony achei que seria uma ótima opção pois tive um sony ericsson number 0i e gostei de mais esse porém é um desastre
0_313544.txt;1;subjetiva;;;bom
0_315221.txt;1;subjetiva;;;muito bacana a televisão é ótima imagens linda em hd quem tem sky hd conectada nessa televisão tem um cinema em casa é um espetáculo
0_315376.txt;1;subjetiva;;;ótima para assistir dvd e video game
0_316406.txt;1;subjetiva;;;existem dois modelos do antigo galaxy tab emoticon gt p10000 que vem com televisão digital 3g wifi eu gt p1010 que só tem wifi o meu é o mais completo que é o que eu recomendo comprar tenho ele a alguns meses e não me arrependo já estou até afim de comprar o novo de number polegadas com android number mas tenho dó de desfazerme do meu porque o novo não tem televisão mas eu recomendo
0_319653.txt;-1;subjetiva;;;não fiquei satisfeita inclusive li outras opiniões que foram bastante positivas mas provavelmente de pessoas que não sabem o que é uma boa televisão acabei passando pra meu filho de number anos que não entende bem diferenciar o bom do ruim
0_319658.txt;0;objetiva;;;bom ouço muitos elogios sobre o produto só me falta a prática de usar suas funções
0_320601.txt;1;subjetiva;;;ótimo produto lindo design vale a pena adquirir
0_325417.txt;-1;subjetiva;;;estou afim de comprar um tablet samsung galaxy mas as avaliações que venho olhando não são das melhores o que diminui mais ainda as chances deu comprálo ou seja vai ser o jeito eu comprar um tablet da apple tenho um samsung galaxy number e ele é ótimo por isso gostaria de trocar de produto mas continuar com o mesmo sistema operacional
0_325572.txt;1;subjetiva;;;que unhaca coisa que ele é muito bom
0_327580.txt;-1;subjetiva;;;quando recebemos o produto meu filho ficou muito satisfeito e eufórico foi pra ele que o compramos porém hoje o it o meses após a aquisição vejo que o produto não cumpre o que promete é muito lento vive travando e há poucos dias pifou não consigo ligar de maneira nenhuma
0_328045.txt;-1;subjetiva;;;custobenefício insatisfatório até o momento …
0_32967.txt;1;subjetiva;;;achei um produto perfeito quando fui comprar um aparelho de celular cheguei na loja com um outro modelo em mente mas quando o vi minha opinião mudou na hora
0_33027.txt;1;subjetiva;;;leve fácil de manusear prático super fino não incomoda no bolso seguro não cogitado para roubo este sim é o celular de verdade
0_333910.txt;1;subjetiva;;;uma verdadeira ferrari mas que só anda com combustível apple
0_333926.txt;1;subjetiva;;;tudo que eu tenho a dizer ele é ótimo
0_334102.txt;1;subjetiva;;;na minha opinião o produto oferece ótimo custo benefício e o investimento vale a pena
0_334108.txt;1;subjetiva;;;ótimo brinquedo devido ao custo beneficio é o que tem de melhor no mercado
0_334317.txt;1;subjetiva;;;no geral acho um equipamento excelente a ausência do 3g desta versão deve ser observada pois pode fazer falta para quem deseja utilizar aplicativos de mapas que exigem conexão ou qualquer aplicativo que faz uso da rede na rua ou em lugares sem internet via wifi a bateria tem duração média de pouco mais que number dia em uso constante o uso de jogos com gráficos avançados podem diminuir este tempo leva entre number e 2h para carregar e pode ser utilizado normalmente enquanto carrega perto da tomada exige muito pouco conhecimento técnico do usuário para a maioria das tarefas de configuração e utilização facilitando o uso do equipamento por pessoas de qualquer idade para pessoas que desejam utilizar para trabalhos de faculdade ou criação de documentos que exigem formatação detalhada não recomendo devido a ausência de um pacote office number compatível previsto para novembro number você pode produzir os textos facilmente inclusive utilizando um teclado sem fio ver en adido separadamente mas não conseguirá consertar este texto corretamente o equipamento substitui facilmente um notebook netbook para a grande maioria das pessoas porém a conectividade pode dificultar algumas coisas simples como transferir um arquivo para de um pendrive ou imprimir um documento devido a ausência de portas usb tudo deve ser feito via rede sem fio mas com o tempo isso passa a não fazer diferença
0_334345.txt;1;subjetiva;;;adquiri esse tablet para utilizar como parte de um sistema de segurança que implantei na minha casa ele roda um programa de android especifico mais já mexi muito nele e gostei apesar da tela emperrar com o dedo ele é excelente com a stylus que vem junto roda os jogos de android numa boa e o melhor não tem as câmeras que atrapalham e consomem muita bateria
0_335197.txt;-1;subjetiva;;;bem se você pretende apenas acessar emails ver fotos e escutar musica ele da pro gasto porem não espere muito dele como seu processador é meio fraquinho ele peca ate na exibição de arquivos pdf
0_335209.txt;1;subjetiva;;;atende as necessidades não sendo de uma marca famosa e sem precedentes motores deixam a desejar
0_348508.txt;1;subjetiva;;;belo produto mas procure com outro processador o amd e muito lento
0_349499.txt;-1;subjetiva;;;positiva portabilidade negativa peso deveria ser mais leve
223523543543.txt;1;subjetiva;;;o que gostei beleza facilidade pelo teclado muitas opções de uso excelente qualidade preço muito bom recomendo
0_350191.txt;1;subjetiva;;;este modelo para mim só tem boniteza
0_35519.txt;1;subjetiva;;;uma televisão moderna com designer espetacular funcionalidade ótima e algumas funções para quem quer ver um programa e quer gravar para ver disfarcem
0_360276.txt;-1;subjetiva;;;comprei pensando ser ó celular mas foi uma enorme decepção
0_360512.txt;-1;subjetiva;;;quase bom
0_361312.txt;-1;subjetiva;;;péssimo não vale apena
0_36186.txt;1;subjetiva;;;a televisão é linda e com ótimo custo benefício imagem perfeita consegui ajustes excelentes com sinal sd com sinal full hd enação é de babar comprei pessoalmente na fastshop de curitiba e consegui excelente preço
0_362448.txt;1;subjetiva;;;fina elegante e barata televisão perfeita pra quer quer um pouco mais de qualidade com um preço mais acessível mais não espere muita coisa não
0_362616.txt;1;subjetiva;;;para as minhas necessidades ficou muito bem boa para jogar imagem linda me irrita um pouco não poder aumentar as cores sem o barulho chato e o som ser abafado mas no geral tem um excelente custo beneficio
0_366775.txt;1;subjetiva;;;custo beneficio é bom até o momento
0_36679.txt;1;subjetiva;;;o produto e bom so que não e estão resistente
0_36871.txt;1;subjetiva;;;produto moderno eficiente e de boa qualidade
0_370169.txt;1;subjetiva;;;é bom produto e gostaria de melhoria em uma bateria de longa duração
0_37019.txt;1;subjetiva;;;um dos melhores celulares que já tive em se tratando de celular pois é fino
0_370761.txt;-1;subjetiva;;;parece que estou sozinho para reclamar o meu é uma lastima o wi fi já levei a assistência técnica e nada mudou aumentei minha conexão e o problema persiste não recomendo a samsung é muito boa em televisão mas em notebook
0_37463.txt;1;subjetiva;;;excelente produto recomendo a todos perfeita pra sala pequena ou quarto
0_37632.txt;1;subjetiva;;;o mais bonito design do mercado ótimo produto seria perfeito se tivesse conversor
0_376607.txt;1;subjetiva;;;bom preço bom processador ótima memoria de hd e memoria ram
0_379753.txt;1;subjetiva;;;o computador em si é bom roda rápido inclusive jogos e executa todas as tarefas sem travar a memória de number gigabytes permite rodar exemplar tranquilo o problema é a assistência hp precisei dela para dois problemas prosaicos o teclado não era reconhecido e não deixava a máquina optimizar e depois o som saía pelos fones de ouvido e pelos alto falantes embutidos ao mesmo tempo nos dois casos a hp mandou apagar os drivers e atualizar o bios isso me faria perder absolutamente tudo o que já tinha instalado e os arquivos que eu tinha transferido questionados se isso resolveria mesmo os problemas os consultores respondem bem se isso não resolver a máquina deve ser encaminhada para assistência no fim bastava trocar o desenvolvedora prece parte or sem fio do teclado e ajustar a saída de som do skype a conclusão era que eu ia perder tudo da memória duas vezes para nada
0_382292.txt;-1;subjetiva;;;se arrependimento matasse eu estava morta lindo e com uma configuração muito boa para uso doméstico tive problemas com ele já nos primeiros meses vencida a garantia de number ano passadas umas semanas o computador simplesmente pifou já tem pelo menos number semestre que ele virou enfeite de mesa porque ele não funciona e a autorizada que eu levei da outra vez fechou
0_383222.txt;-1;subjetiva;;;number pois perde no design para o concorrente imac
0_388089.txt;1;subjetiva;;;ótimo produto mas necessita aquisição de memória à parte no mais é um ótimo equipamento
0_392344.txt;-1;subjetiva;;;comprei uma camera digital fuji s4500 no submarino em number a previsão de entrega dada pelo site ao efetuar a compra foi de number dias ao acompanhar o pedido no site após o pagamento no boleto bancário esta previsão se estendeu por number dias por isto vai um aviso a quem queira adquirir um produto para que chegue antes do natal não compre no submarino e não confiem na previsão que é dada pois para venderem fazem de tudo agora para entregarem somente de jegue submarino nodo
0_39425.txt;-1;subjetiva;;;excelente piam péssimo telefone se pensa em unir um gerenciador de informações pessoais com um celular o mau desempenho do celular não compensa
0_39574.txt;0;objetiva;;;acredito que foi o último telefone da linha que não possui cartão de memória
0_39822.txt;1;subjetiva;;;muito boom excelente kkk karalho karalho karalho karalho karalho kkk karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho
0_40108.txt;1;subjetiva;;;quando decidi que era este o produto eu já estava satisfeita com as suas funcionalidades e passei a comparar preço nas lojas quando recebi em casa o produto me encantou ainda mais é mais compacto do que eu imaginava seus botões e imagens são realmente intuitivos e o manual é tão completo que é preciso conter a vontade de partir logo para a utilização
0_40322.txt;1;subjetiva;;;o produto é bom mas falta assistência técnica séria na região
0_403368.txt;1;subjetiva;;;maravilhoso
0_403495.txt;1;subjetiva;;;não tenho experienciaalguma mas meu amigo tem e eu amei pedi emprestado por um dia meu sonho e ter um
0_404246.txt;0;objetiva;;;estou avaliando a possibilidade de compra de um galaxy note ii number comprando com outros modelos aluem amigos já possuem e estão satisfeitos com esse tablet
0_404273.txt;1;subjetiva;;;estou louco por este ipad gostaria muito de ter ele apesar de não ter recomendo sim este produto é lindo chique prático e incrível quero muito o ipad number
0_405159.txt;1;subjetiva;;;prático design clean e hardware de altíssima qualidade
0_405256.txt;1;subjetiva;;;muito bom de baixo custo e com bastante formulas
0_405432.txt;-1;subjetiva;;;este aparelho acaba a bateria muito rápido o acesso as ferramentas do aparelho é confuso do nada apaga a tela mesmo habilitado para durar mais tempo o acesso para desbloquear o teclado é péssimo
0_405735.txt;1;subjetiva;;;eu ainda não tenho mas meus amigos comprara então comecei a mexer e adorei
0_405958.txt;1;subjetiva;;;excelente última geração
0_406239.txt;0;objetiva;;;quebrou com menos de number meses de uso
0_407640.txt;1;subjetiva;;;o tablet sansung p5110 é muito bom un designe lindo super fino bem leve a resposta é muito boa as paginas correm muito bem sem travar o preço ainda esta um pouco salgado mas vale a pena na minha opinião é o melhor tablet depois da apple
0_407715.txt;1;subjetiva;;;excelente equipamento veio em uma versão com tela menor porem com recursos que fazem valer o nome galaxy comprarei e recomendo
0_40804.txt;1;subjetiva;;;mau it o lindo chegando junto com o concorrente da lg kb775f scarlet phone e samsung sghv805 sghi6210 v820l que também dispõem da tecnologia de televisão digital no celular
0_412397.txt;-1;subjetiva;;;olá colegas quero deixar aqui a minha indignação com a empresa dl comprei um tablet da mesma e apresentou defeito na tela entrei em contato com o sac e fui orientado a enviar o produto a fabrica passados number dias me ligam dizendo que tenho que pagar pelo reparo valor number number detalhe só ligaram após uma cobrança da minha parte sobre a situação do produto agora pergunto comprei um produto novo com garantia porque tenho que pagar mais por isso a dl alega que eu quebrei o aparelho infelizmente antes de comprar só visitei o site da empresa que confesso me senti seguro quanto a compra mas hoje visitando sites como o rastreamento com brasileiro e lendo depoimentos de pessoas lesadas pela dl percebo a besteira que fiz por isso colegas não recomendo a compra de produtos dessa empresa acredite se precisar de assistência você estará sozinho
0_412857.txt;-1;subjetiva;;;digamos que ele e um tab essencial para navegação na internet rodar alguns aplicativos educação it ar documentos ver filmes o tamanho da tela dele é muito bom da para ter uma visão ampla apo és ar dele ser muito pesado e deixar a mao um pouco cansativa o preço dele e muito elevado aos concorrente com o mesmo desempenho ou ate melhores
0_413911.txt;-1;subjetiva;;;meu aluno comprou o computador allin one hp e reclama demais da velocidade com que abre alguns programas convencionais sob plataforma windows number precisava aumentar velocidade de processador e suas memórias sdram e nando flash
0_416243.txt;1;subjetiva;;;pela aparência e características parece ser um bom produto de grande utilidade ocupa pouco espaço e tem um designer atraente porém o meu veio com alguns problemas bom ao meu ver isso é um tipo de problema que mesmo tento todo apoio e assistência não funcionou muito ele fica atualizando constantemente mesmo fazendo vários ajustes oferecidos pelos técnicos da hp e por outros que entendem melhor do que eu ele sempre volta a ficar atualizando e isso as vezes demora horas e detalhe isso é quase todo dia e tem dias que é toda vez que ligo quando vou desligar haja espera no restante funcionou bem pra dizer a verdade fiquei satisfeito com o atendimento da hp pacientes educados e o melhor estão realmente disposto a ajudar retornam as ligações e fazem uma boa pesquisa de campo e fornecem instruções detalhadas
0_420494.txt;-1;subjetiva;;;o produto é regular já que fica lente constantemente e trava quando utilizado a tecla virtual
0_422280.txt;-1;subjetiva;;;comprei dois tablets multilaser um da linha diamond number number e o outro linha vibe dia number number dei para minha filha e sobrinha o das duas não carregam bateria não funciona o fone são tablets recém adquiridos e estão com esta situação fomos nas lojas que compramos e lá dizem que é para entrar neste site para ter maiores informações não posso levar em qualquer lugar para arrumar alem destas duas crianças mais um amiguinha comprou igual e está com o mesmo problema posso garantir que os dois aparelhos estão em perfeito estado devido aos cuidados com os mesmos e pergunto que faço quem se responsabiliza aguardo retorno urgente
0_43015.txt;1;subjetiva;;;produto satisfatório bom custo benefício
0_43138.txt;1;subjetiva;;;excelente
0_431873.txt;1;subjetiva;;;produto de custo beneficio excelente mas so para navegar e pequenos trabalhos
0_434080.txt;-1;subjetiva;;;comprei uma tv60lg modelo ls5700 em menos de number dias apresentou problemas não aparece imagem somente som um produto tão caro e de alta tecnologia e com qualidade duvidosa menos mal que a fabrica se prontificou e efetuou a troca do aparelho mesmo fora do prazo de number dias uteis porque se dependesse da loja walmart ainda estaria com a mesma televisão só teria enviado a assistência técnica não recomendo este modelo
0_434338.txt;1;subjetiva;;;já tenho uma televisão dessa marca e estou satisfeita
0_437986.txt;-1;subjetiva;;;imagem excelente consumo baixo varias entradas hdmi mas o smart faz passar raiva nem uso falha a conexão com roteador dig it ar com controle é insuportável só aceita mouse e telhado original falta memoria
0_438370.txt;1;subjetiva;;;o televisor é bonito o preço que paguei foi excelente e pelas funcionalidades foi um ótimo custobenefício atendeu muito bem minhas necessidades e substituiu de forma avassaladora minha antiga televisão de tubo tem as principais conexões atuais o pior ponto negativo é a qualidade do som é horrível no início achei difícil mas acostumei mas ainda assim é realmente desastroso poderia também executar vídeos direto do pen drive assim a porta usb seria melhor aproveitada não arrependi pela compra é uma boa opção para quem não é muito exigente e não quer gastar muito
0_441463.txt;-1;subjetiva;;;e a pior televisão que já tive com number dias a placa do controle remoto estragou ficou number dias na autorizada o som e muito baixo
0_441915.txt;-1;subjetiva;;;uma televisão completa dentro de um padrão básico para quem quer uma televisão grande e que não tenha muitas funções seu pior ponto negativo é o som pois pelo preço deveria ser de ótima qualidade com ele você não escuta corretamente os graves e agudos pois sua potência é péssima chegando a parecer que o problema é da própria televisão
0_44323.txt;1;subjetiva;;;excelente produto menu simples bons recursos no aparelho visor muito bom
0_44372.txt;1;subjetiva;;;um produto de muita tecnologia e qualidade muito pratico poise de muito fácil uso alem de toda tradição e confiança sony ericsson
0_452214.txt;0;objetiva;;;isso aí
0_452576.txt;-1;subjetiva;;;é uma televisão bonita mas deixa a desejar em qualidade de som o som é fundamental em uma televisão tenho outra da samsung e dá pra comparar a qualidade a da samsung é infinitamente superior
0_46147.txt;1;subjetiva;;;muito bom e de fácil manuseio
0_46177.txt;-1;subjetiva;;;um lixo ruim de pegar sinal a tela dele é horrível a câmera é pior do que a do meu chinelo
0_4881.txt;1;subjetiva;;;televisão com imagem e som de ótima qualidade tela plana e number polegadas som estéreo e opções sap muito fácil instalação e uso controle remoto simples e garantia que só a toshiba tem
0_59131.txt;1;subjetiva;;;quando escolhi o produto considerei apenas o preço por ser o mais acessível porém ao receber o produto tive a certeza que além do preço haviam mais vantagens tinha escolhido um produto de qualidade
0_59255.txt;1;subjetiva;;;recomendo a quem quer um produto simples e eficiente
0_6057.txt;1;subjetiva;;;essa máquina tem tudo que eu precisava além de ser fácil de usar a qualidade das fotos e dos vídeos são ótimas
0_61894.txt;1;subjetiva;;;excelente fácil de manejar principalmente para um principiante como eu gostei muito estou satisfeito com a aquisição
0_62087.txt;1;subjetiva;;;excelente imagem desempenho ótimo design muito linda
0_64202.txt;1;subjetiva;;;pelo custo benefício é ótimo
0_64461.txt;1;subjetiva;;;produto muito bom
0_66739.txt;1;subjetiva;;;computador bom para os afazeres diários mas deixa a desejar para jogos
0_66893.txt;1;subjetiva;;;faz pouco tempo que tenho o computador da positivo apesar de esquentar um pouco eu achei ele ótimo
0_69085.txt;1;subjetiva;;;positiva
0_69202.txt;1;subjetiva;;;apresentação e qualidade das fotos e vídeos excelentes pelo preço comparado a produtos similares deveria acompanhar cartão de memória equipamentos virou do tripé de fixação a uma altura de number com e trancou a objetiva tendo que ser levada a assistência técnica pois dava mensagem de erro ao tentar ligar
0_70173.txt;1;subjetiva;;;ótimo funcionamento
0_70241.txt;0;objetiva;;;estou comprando outro para meu filho
0_7236.txt;1;subjetiva;;;a nokia fun camera abc és apaixonouse tem ótima resolução alem de ter flash os celulares com camera integrada não tem flash os toques polifônicos tem bom volume viva voz e alem de não ser pesado e não me arrependo de telo comprado
0_7248.txt;1;subjetiva;;;excelente recursos jamais vistos juntos em um único celular câmera digital de number mega pixels filmadora digital rádio fm gravador mp3 etc
0_7813.txt;1;subjetiva;;;pesquise bastante e achei esse o produto com melhor custo beneficio pois tenho controle remoto simplificado conectores para o principais aparelhos como dvd e vídeo de fácil instalação boa imagem e opcionais como relógio agenda telefônica e muito mais
0_78167.txt;1;subjetiva;;;um produto com preço excelente e de boa qualidade
0_78324.txt;1;subjetiva;;;gostei muito desta maquina pelo seu custo benefício
0_83463.txt;-1;subjetiva;;;a fabrica para reduzir custos imagino eu baixou a qualidade de seus cadernos de instruções remetendo apenas o caderno simplificado considerando o custo bom en elicio ainda assim acho que se equiparam deveria ter esperado mais um pouco para adquirir uma televisão lcd
0_83833.txt;-1;subjetiva;;;preço alto com retorno não esperado
0_84447.txt;1;subjetiva;;;produto extremamente saudável para um computador de baixo custo excelente para atividades empresariais que requerem menor consumo de processamento
0_85460.txt;1;subjetiva;;;é um computador para quem quer tunar mais para frente ele atende o dia mais anidra é fraco para gamer mais só falta uma placa de video para atender o básico
0_86067.txt;-1;subjetiva;;;só recomendo para quem quer portabilidade muito mais do que um menino de desempenho
0_86314.txt;1;subjetiva;;;o produto atende de modo bastante completo a minha expectativa que eu tinha em relação ao mesmo estou satisfeito com a aquisição
0_87077.txt;1;subjetiva;;;esta teve é uma ótima televisão lcd em relação ao custo beneficio
0_87192.txt;-1;subjetiva;;;em poucas palavras o botão de sintonizar ousaria ser mais maciel
0_87348.txt;1;subjetiva;;;a apple bela por seu nome um excelente computador com design maravilhoso e um sistema operacional super leve foi a primeira vez que utilizo o sistema mac e não quero saber de outro sistema operacional
0_87870.txt;1;subjetiva;;;o produto é muito bom atende as expectativas de que estuda ou trabalha é precisa de um net para estar conectado
0_88420.txt;-1;subjetiva;;;bom e caro
0_88598.txt;0;objetiva;;;nada a declarar
0_95130.txt;1;subjetiva;;;maravilhoso de antro do esperado
0_95240.txt;1;subjetiva;;;maravilhoso configuração penetrada do jeito que a gente precisa
0_9974.txt;1;subjetiva;;;é um bom produto apesar de apesar da lentidão para iniciar alguns aplicativos tem um design interessante e a bateria dura bastante
1_105475.txt;1;subjetiva;;;me parece uma maquina interessante só o preço que ainda está salgado vou aguardar um pouco para comprar
1_107199.txt;-1;subjetiva;;;deixou muito a desejar
