,FINAL,FRASE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,OBJ/SUBJ
110,0,e o carregador de notebook da dell quem tem pra apoia,,,,,,,,,,,,,objetiva
111,0,liquida notebook dell inspiron number 4r number a30 number i5 6gb 1tb gt740m ar number number url … apesar … url,,,,,,,,,,,,,objetiva
112,0,username olá portarei opa vem url emoticon,,,,,,,,,,,,,objetiva
113,0,alguém tem um cabo da dell pra notebook pra me doar,,,,,,,,,,,,,objetiva
114,0,dell vostro number number notebook apua dual core e1 4gb number 0gb ubuntu at price rs18700 number url,,,,,,,,,,,,,objetiva
115,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
116,0,dell latitude e6410 notebook computador intel core ai url hashtag hashtag url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
117,0,username esse aqui é uma versão atualizada do meu vem com processador da number terceira geração do i5 url …,,,,,,,,,,,,,objetiva
118,0,tenha um notebook leve e compacto com as melhores tecnologias o dell inspiron number b10 além de consumir menos url,,,,,,,,,,,,,objetiva
119,0,hashtag username bom dia tímidos bala de menta hashtag sobre notebook hashtag na hashtag url,,,,,,,,,,,,,objetiva
120,1,notebook latitude dell teve hd substituído e concertado com sucesso windows number number 4bit um cliente satisfeito,,,,,,,,,,,,,subjetiva
121,0,notebook com ou sem teclado numérico samsung ou dell respectivamente,,,,,,,,,,,,,objetiva
122,-1,tenta voltar seu notebook da dell do windows number para o windows number você vai ver que bosta é isso tela pétrea number horas link permanente da imagem incorporada,,,,,,,,,,,,,subjetiva
123,0,tipo se eu entro na pagina do meu notebook na dell e vou na parte de drivers ele fala que é compatível com win10 e me manda pra essa pagina,,,,,,,,,,,,,objetiva
124,-1,nunca mais compro notebook da dell,,,,,,,,,,,,,subjetiva
125,0,alguém aí tem notebook da dell é a melhor marca mesmo,,,,,,,,,,,,,objetiva
126,1,eu olho pro meu notebook agora e me amaldiçoa por não ter comprado um asus acer ou um dell,,,,,,,,,,,,,subjetiva
127,1,venho por meio desse tweet que o notebook da username é o melhor,,,,,,,,,,,,,subjetiva
128,1,notebook da positivo é péssimo credo melhor notebook é dell,,,,,,,,,,,,,subjetiva
129,0,super notebook number em number dell aproveitem super oportunidade zero lacrado na caixa preço a combina oportunidade ar number number url …,,,,,,,,,,,,,objetiva
130,0,hashtag dell latitude cai number notebook url hashtag hashtag link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
131,0,minha mãe sendo generosa no valor do notebook isso significa i5 1tb e 8gb de ram agora a dúvida é dell ou hp,,,,,,,,,,,,,objetiva
132,1,finalmente comprei um novo notebook dell i7 segundafeira ele vai ser meu muahahaahaja number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,subjetiva
133,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
134,0,notebook number in number dell inspiron number number number touch pentium intel core i5 number 0u compraventa » camaras informática url …,,,,,,,,,,,,,objetiva
135,0,username username alem disso as informações dele estão muito bagunçadas url,,,,,,,,,,,,,objetiva
136,0,notebook dell latitude e6410 usado url,,,,,,,,,,,,,objetiva
137,0,aproveite mais essa mega oferta e ainda aproveite para concorrer a muitos prêmios da americanas url number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,objetiva
138,0,username username justamente a que eu tava pensando em comprar meu notebook de la acaba de morrer depois de quase number anos de uso,,,,,,,,,,,,,objetiva
139,0,hashtag notebook da dell como faço para remover url,,,,,,,,,,,,,objetiva
140,0,dica de compra de notebook com placa de vídeo geforce number 0m da dell url …,,,,,,,,,,,,,objetiva
141,-1,você acha que a username tem notebooks com uma qualidade superior você está enganado hashtag hashtag hashtag url …,,,,,,,,,,,,,subjetiva
142,0,vendo notebook dell number 0se de alto desempenho url …,,,,,,,,,,,,,objetiva
143,0,dell inspiron number de number é super fino e vem com windows number o notebook ultrafino da dell tem number number com de espessa url,,,,,,,,,,,,,objetiva
144,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
145,0,notebook dell inspiron i14a20 intel core i5 8gb 1tb windows number led number placa de vídeo 2gbpreço sugerido ar number number http emoticon kiwi socialize com brasileiro theo reis,,,,,,,,,,,,,objetiva
146,-1,eu tiro dispositivo hao123 br123 jogo do sansão surf webssearch mas não consigo consertar um notebook da dell username,,,,,,,,,,,,,subjetiva
147,0,vi um notebook da dell mais barato do que o normal e sinceramente quero morrer,,,,,,,,,,,,,objetiva
148,0,alguém conhece um lugar bom pra eu consertar meu notebook dell inspiron parece que a placamãe foi pro url,,,,,,,,,,,,,objetiva
149,0,esse notebook é bacana url …,,,,,,,,,,,,,objetiva
150,0,username use este link em uma janela anônima irá atualizar no carrinho url,,,,,,,,,,,,,objetiva
151,0,username embora trazer de volta os alimentares embora botar preço competitivo estou doido pra trocar de notebook e não queria sair da dell,,,,,,,,,,,,,objetiva
152,0,amigos estou vendendo um notebook dell top i7 com number gigabytes de ram hd de 1tb híbrido com number gigabytes ssd placa de video url,,,,,,,,,,,,,objetiva
153,-1,nunca pensei que seria tão difícil configurar um notebook da dell,,,,,,,,,,,,,subjetiva
154,0,dell brasil é líder em vendas de notebook no país,,,,,,,,,,,,,objetiva
155,0,notebook para jogos pesados da dell notebook para jogos pesados da dell com super desempenho e o melhor custo url,,,,,,,,,,,,,objetiva
156,-1,username username eu fiz backup e clean install no notebook novo da minha mãe já veio ruim de fábrica cheio daqueles programas da dell,,,,,,,,,,,,,subjetiva
157,0,username pin me consegue um desconto nesse please url,,,,,,,,,,,,,objetiva
158,0,dell lançou o notebook híbrido inspiron number série number url …,,,,,,,,,,,,,objetiva
159,0,vou levar meu notebook da dell à assistência ele está fazendo um alarme e não liga rezem por mim,,,,,,,,,,,,,objetiva
160,1,acabei de ganhar um presentão do username um notebook novinho e bem top da username number reterei number curtiram responder pretextar curtir number,,,,,,,,,,,,,subjetiva
161,-1,todo o que eu queria era o meu notebook sério nunca te pedi nada username,,,,,,,,,,,,,subjetiva
162,-1,nunca comprem notebook na loja url …,,,,,,,,,,,,,subjetiva
163,-1,finalmente comprei meu notebook amém senhor finalmente comprei um da samsung mesmo porque da dell está caro number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,subjetiva
164,0,assistência técnica notebook dell goiânia assistência técnica notebook dell goiânia consulte url number number,,,,,,,,,,,,,objetiva
165,0,notebook dell i5 4gb 1tb 2gb dedicado led number prateado computadores e acessórios url,,,,,,,,,,,,,objetiva
166,0,username tem como conseguir algum desconto nesse dell url …,,,,,,,,,,,,,objetiva
167,-1,dell é o notebook que tem estrutura mais fraca sempre quebra,,,,,,,,,,,,,subjetiva
168,0,rédeas url hashtag dell latitude e6500 notebook computer dual core number 4ghz number 0gb 2gb windows number … ver foto,,,,,,,,,,,,,objetiva
169,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
170,0,dell vostro number number number gigabytes number ghz number gigabytes notebook bvcs74a16 …http emoticon extremely good marmelos auction buy2day informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
171,0,ar number number no cartão sub notebook dell inspiron i14 number b10 intel core i3 4gb 1tb tela led number url,,,,,,,,,,,,,objetiva
172,0,username pois vamos baixar o preço desse dell e deixa ele menos de number url … hashtag para,,,,,,,,,,,,,objetiva
173,0,username tem como deixar esse dell por menos de number url …,,,,,,,,,,,,,objetiva
174,0,dell latitude e6400 number notebook …http emoticon great tech de alas grand it emas newoffers informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
175,1,quando eu for comprar um notebook me lembrem de comprar o da dell garantia em domicílio,,,,,,,,,,,,,subjetiva
176,0,por number no cartão sub ou number no boleto notebook dell inspiron i14 number a35 com intel core i5 4gb 1tb led number url,,,,,,,,,,,,,objetiva
177,0,notebook dell refabricado number cotas de number number,,,,,,,,,,,,,objetiva
178,1,chegou hashtag hashtag hashtag hashtag hashtag hashtag hashtag url,,,,,,,,,,,,,subjetiva
179,1,não se transforma fusca em ferrari assim como não se transforma notebook positivo em notebook dell,,,,,,,,,,,,,subjetiva
180,0,dell latitude e5440 number ” notebook – intel cor url hashtag hashtag url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
181,0,dell latitude e5540 ca003le55401em notebook url …,,,,,,,,,,,,,objetiva
182,0,gente estou vendendo um hashtag da hashtag muito bom so não uso ele em nada rs hashtag quem se interessar url,,,,,,,,,,,,,objetiva
183,0,notebook dell username url … se vende barato,,,,,,,,,,,,,objetiva
184,0,dell number number gigabytes intel pentium dual core number ghz number gigabytes notebook …http emoticon cube produtos abe nurse de del newoffers informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
185,0,meu notebook deu pane preciso entrar em contato com a username,,,,,,,,,,,,,objetiva
186,-1,username vem logo arrumar o meu notebook favorzinho,,,,,,,,,,,,,subjetiva
187,0,gostei de um vídeo username de username url notebook dell inspiron number 4r number como desmontar e fazer limpeza,,,,,,,,,,,,,objetiva
188,0,notebook dell inspiron n4050 xá arica maricota url url,,,,,,,,,,,,,objetiva
189,0,username bom dia vocês irão liberar os drivers para o notebook dell inspiron number 5r n5010,,,,,,,,,,,,,objetiva
190,0,dell latitude e6320 notebook url url,,,,,,,,,,,,,objetiva
191,0,confira no magazine multiprocessador notebook dell inspiron number i14 number url …,,,,,,,,,,,,,objetiva
192,0,notebook battery for dell kd495 pc764 tc030 td175 latitude d630 http emoticon posa invades reviews buy2day informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
193,0,dell latitude e6420 notebook computador – intel core url hashtag hashtag url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
194,0,olhar digital dell traz ao brasil notebook number em number com tela de number polegadas url,,,,,,,,,,,,,objetiva
195,0,amigos meu apartamento foi invadido nessa manhã e foram levados entre outros pertences um notebook dell e um url,,,,,,,,,,,,,objetiva
196,0,dell apresenta seu primeiro notebook híbrido de number polegadas no brasil,,,,,,,,,,,,,objetiva
197,0,e testar também um notebook da dell,,,,,,,,,,,,,objetiva
198,0,quer um notebook dell i5 com um preço especial está aqui http emoticon maga ale 1gifzmd,,,,,,,,,,,,,objetiva
199,0,inspiron number série number novo notebook da dell com ubuntu a dell colocou outro modelo de notebook à venda com atlântida url,,,,,,,,,,,,,objetiva
200,1,meu notebook deu um problema e assim que liguei no suporte dell fui atendida logo o técnico que me atendeu foi super lega,,,,,,,,,,,,,subjetiva
201,0,gostei de um vídeo username de username url boeing notebook dell a40,,,,,,,,,,,,,objetiva
202,1,cegonha trouxe meu bebê ou seja a dell entregou meu notebook novo estou chorando,,,,,,,,,,,,,subjetiva
203,-1,to a number hora com a dell no telefone espero que resolva o problema do meu notebook ninguém merece comprar e uma semana depois estragar,,,,,,,,,,,,,subjetiva
204,0,dell lança no brasil primeiro notebook híbrido de number number polegadas a dell lançou no mercado brasileiro o nocebo url,,,,,,,,,,,,,objetiva
205,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
206,0,chega ao brasil o notebook number em number da dell com tela de number polegadas e windows number url,,,,,,,,,,,,,objetiva
207,0,acho engraçado essas lojas vendendo notebook positivo 3d com 2gb de ram como se fossem ultrabooks da dell huahaua,,,,,,,,,,,,,objetiva
208,0,qual a melhor marca atual levando em consideração bumbuns dell to precisando de um notebook mas não sei qual i5 4gb etc,,,,,,,,,,,,,objetiva
209,0,dell apresenta seu primeiro notebook híbrido de number polegadas no brasil,,,,,,,,,,,,,objetiva
210,0,username eu consigo ele por url,,,,,,,,,,,,,objetiva
211,0,magazine luiza você nunca foi tão fácil comprar uma loja completa pra você seus amigos sua família com url,,,,,,,,,,,,,objetiva
212,0,daí chega um email da dell confirmando um pedido que eu nunca pedi bom se fosse um notebook mais é apenas uma fonte,,,,,,,,,,,,,objetiva
213,1,vim aqui pois tenho uma ótima notícia para vocês teclado do notebook está arrumado obrigado aos serviços da dell empresa show,,,,,,,,,,,,,subjetiva
214,-1,seguinte tenho um notebook dell n4030 que está dando problema comprei uma fonte nova ela funciona porém eu url,,,,,,,,,,,,,subjetiva
215,0,lançamento number na área hashtag dell number em number com tela de number polegadas url …,,,,,,,,,,,,,objetiva
216,-1,to irado,,,,,,,,,,,,,subjetiva
217,0,notebook battery for dell number cf623 cw674 df192 df249 xd736 xd739 ary http emoticon de lightful avisa offer buy2day informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
218,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
219,0,procura um bom hashtag na infecção você encontra modelos da hashtag hashtag hashtag e hashtag a pronta entrega com pagamento facilitado em 3x,,,,,,,,,,,,,objetiva
220,0,notebook dell latitude d420 core2 duo url,,,,,,,,,,,,,objetiva
221,0,se você tem um notebook dell com windows number ou superior e o wifi fica desativando diariamente veja este vídeo e url,,,,,,,,,,,,,objetiva
222,0,chega ao brasil o notebook number em number da dell com tela de number polegadas e windows number url,,,,,,,,,,,,,objetiva
223,0,dell traz ao brasil notebook number em number com tela de number polegadas a dell anunciou hoje o inspiro number sã ©rie number url,,,,,,,,,,,,,objetiva
224,0,hashtag dell traz ao brasil notebook number em number com tela de number polegadas url hashtag hashtag,,,,,,,,,,,,,objetiva
225,0,novo notebook inspiron number number tem formato number em number e já vem com windows number a dell lançou um novo notebook number url,,,,,,,,,,,,,objetiva
226,0,novo artigo notebook dell inspiron number number number em number com windows number url,,,,,,,,,,,,,objetiva
227,0,dell traz ao brasil notebook number em number com tela de number polegadas url hashtag,,,,,,,,,,,,,objetiva
228,0,reparando sistema operacional win xp notebook dell em cliente amigo final em varginha amigo,,,,,,,,,,,,,objetiva
229,0,novo notebook inspiron number number tem formato number em number e já vem com windows number via testudo a dell lançou um novo no … url,,,,,,,,,,,,,objetiva
230,0,placa mãe original notebook dell latitude d630 url,,,,,,,,,,,,,objetiva
231,0,tampa do lcd notebook dell latitude d630 url,,,,,,,,,,,,,objetiva
232,0,dell apresenta seu primeiro notebook híbrido de number polegadas no brasil aparelho da série inspira url hashtag hashtag,,,,,,,,,,,,,objetiva
233,0,dell apresenta seu primeiro notebook híbrido de number polegadas no brasil aparelho da série inspiron number number apor url,,,,,,,,,,,,,objetiva
234,0,hashtag dell apresenta seu primeiro notebook híbrido de number polegadas no brasil url,,,,,,,,,,,,,objetiva
235,0,reparo efetuado em notebook dell modelo inspiron number com lcd danificado seu micro note o book apresenta alguma url,,,,,,,,,,,,,objetiva
236,0,dell lança notebook number em number inspiron number série number no brasil url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
237,0,dell inspiron number 3gb ram intel pentium dualcore number 6ghz number notebook …http emoticon cube produtos abe nurse de del newoffers informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
